"3상유도전동기","벨트처짐","소음","진동","속도"
204,268,7,4559,1
240,244,7,4553,1
200,223,12,4549,1
221,186,2,4549,1
257,188,13,4554,1
239,145,13,4554,1
237,157,3,4539,1
269,231,10,4548,1
243,151,10,4548,1
244,140,5,4573,1
207,246,2,4574,1
216,191,2,4568,1
226,160,1,4563,1
219,170,3,4558,1
237,167,2,4570,1
217,165,3,4574,1
189,226,4,4565,1
209,215,6,4555,1
223,185,5,4550,1
209,151,1,4549,1
224,245,7,4546,1
199,173,6,4552,1
220,244,3,4555,1
230,172,1,4557,1
218,147,1,4562,1
200,198,5,4567,1
238,171,1,4575,1
229,147,3,4580,1
215,146,2,4579,1
255,163,4,4582,1
225,203,3,4577,1
235,272,5,4575,1
225,155,2,4564,1
208,195,3,4558,1
289,147,1,4549,1
225,258,3,4567,1
233,172,7,4541,1
224,264,6,4546,1
241,306,6,4548,1
209,195,3,4539,1
213,251,3,4540,1
275,881,3,4541,1
194,168,3,4540,1
232,179,8,4530,1
225,184,14,4537,1
204,207,16,4548,1
229,143,5,4559,1
226,264,1,4568,1
226,292,10,4571,1
193,210,1,4570,1
218,234,3,4565,1
226,165,9,4560,1
234,197,2,4556,1
226,260,3,4552,1
258,146,5,4570,1
239,158,2,4547,1
235,192,7,4555,1
271,182,3,4557,1
199,197,2,4553,1
227,149,0,4547,1
236,211,12,4543,1
250,155,2,4553,1
248,151,3,4560,1
229,138,4,4565,1
198,185,0,4567,1
207,206,3,4568,1
203,210,1,4579,1
220,144,2,4581,1
218,225,1,4581,1
236,248,5,4580,1
226,194,4,4579,1
242,180,2,4568,1
248,156,4,4555,1
259,265,3,4551,1
273,166,4,4547,1
227,185,2,4553,1
259,296,5,4549,1
239,156,4,4547,1
233,163,1,4541,1
236,145,3,4543,1
201,253,5,4537,1
230,144,8,4535,1
210,275,4,4558,1
219,243,6,4573,1
241,165,6,4573,1
227,272,6,4574,1
198,246,2,4557,1
244,267,3,4557,1
240,148,20,4549,1
260,146,7,4546,1
259,258,1,4543,1
244,171,8,4544,1
189,221,4,4541,1
225,176,3,4549,1
250,177,2,4546,1
232,247,3,4544,1
241,156,8,4559,1
249,239,3,4546,1
266,145,3,4545,1
296,256,8,4549,1
304,166,5,4553,1
244,180,3,4555,1
245,174,2,4562,1
327,178,8,4565,1
238,248,5,4572,1
200,261,1,4581,1
222,192,1,4582,1
218,250,3,4579,1
222,290,5,4570,1
209,200,0,4561,1
217,222,2,4554,1
213,157,3,4547,1
207,241,9,4546,1
233,186,1,4557,1
218,194,2,4547,1
200,253,5,4544,1
200,172,3,4545,1
225,189,0,4545,1
232,175,1,4543,1
223,143,1,4543,1
204,263,3,4543,1
198,185,5,4539,1
230,145,9,4547,1
232,176,4,4574,1
223,267,14,4570,1
199,174,5,4568,1
229,167,2,4551,1
231,189,2,4551,1
252,147,9,4549,1
228,242,10,4561,1
247,224,9,4560,1
249,231,12,4550,1
213,199,5,4575,1
223,150,3,4580,1
236,150,10,4562,1
194,243,4,4577,1
226,175,4,4577,1
208,218,13,4577,1
203,171,5,4577,1
248,188,2,4574,1
225,214,13,4573,1
223,302,1,4569,1
245,181,3,4564,1
226,155,1,4557,1
236,279,3,4553,1
225,141,3,4551,1
267,186,5,4547,1
223,252,1,4544,1
240,163,4,4543,1
229,156,3,4542,1
214,196,2,4546,1
216,260,1,4540,1
183,183,1,4541,1
198,199,1,4541,1
199,259,1,4547,1
223,186,1,4547,1
200,179,1,4567,1
202,261,4,4573,1
234,158,4,4566,1
225,267,4,4555,1
208,182,9,4548,1
261,166,4,4551,1
263,199,3,4550,1
219,248,2,4555,1
240,144,7,4557,1
241,235,5,4565,1
256,168,1,4569,1
238,186,21,4577,1
202,179,4,4580,1
211,227,4,4583,1
197,175,3,4582,1
207,224,1,4577,1
201,162,7,4574,1
195,172,3,4560,1
236,263,7,4555,1
214,282,18,4575,1
206,164,3,4564,1
233,190,3,4555,1
212,246,7,4554,1
222,197,5,4554,1
246,153,6,4551,1
222,165,2,4541,1
224,190,1,4541,1
222,150,5,4549,1
246,194,3,4543,1
198,173,1,4558,1
200,161,1,4577,1
221,151,3,4574,1
194,207,1,4569,1
230,143,5,4557,1
193,201,6,4551,1
202,291,2,4547,1
212,173,4,4548,1
210,266,5,4562,1
201,177,1,4555,1
205,223,2,4554,1
272,143,2,4549,1
239,209,3,4544,1
221,186,2,4548,1
220,195,2,4553,1
224,201,10,4552,1
224,201,7,4559,1
236,246,4,4561,1
243,207,3,4565,1
225,201,7,4568,1
227,169,17,4573,1
259,261,2,4580,1
233,249,8,4580,1
243,246,6,4581,1
246,289,6,4575,1
249,153,8,4575,1
241,146,5,4570,1
237,258,9,4569,1
214,203,3,4582,1
203,186,2,4577,1
271,152,19,4574,1
224,172,3,4566,1
230,146,6,4556,1
240,164,9,4550,1
243,888,12,4551,1
220,271,3,4545,1
191,214,4,4545,1
203,254,5,4541,1
224,237,3,4536,1
256,155,6,4538,1
212,213,3,4535,1
248,168,3,4548,1
227,241,2,4553,1
209,282,0,4567,1
253,230,9,4569,1
249,197,17,4567,1
221,168,1,4566,1
235,152,5,4551,1
275,188,8,4561,1
304,177,6,4564,1
287,168,7,4574,1
272,151,2,4574,1
277,178,9,4570,1
229,214,12,4569,1
256,196,4,4567,1
252,162,4,4566,1
267,179,12,4562,1
265,232,8,4557,1
255,171,2,4551,1
270,232,4,4554,1
249,197,3,4548,1
268,176,3,4544,1
270,263,8,4549,1
293,169,10,4555,1
282,195,4,4549,1
230,225,16,4553,1
248,228,16,4553,1
255,168,7,4558,1
274,215,20,4565,1
298,154,3,4554,1
285,160,6,4560,1
307,314,37,4555,1
262,165,2,4555,1
252,196,21,4558,1
283,169,22,4565,1
243,291,6,4568,1
235,162,18,4559,1
218,209,4,4566,1
260,246,1,4568,1
295,155,15,4565,1
291,157,3,4572,1
247,160,8,4565,1
242,294,12,4576,1
324,156,3,4574,1
254,171,10,4577,1
286,167,10,4577,1
248,153,4,4577,1
262,186,12,4559,1
260,150,9,4580,1
246,156,5,4569,1
259,307,2,4568,1
266,211,10,4569,1
245,265,2,4578,1
230,150,2,4578,1
215,194,5,4582,1
269,172,2,4580,1
240,150,1,4575,1
241,146,1,4575,1
236,298,8,4574,1
238,215,4,4567,1
222,278,2,4571,1
260,163,4,4569,1
215,249,9,4565,1
239,171,4,4569,1
281,222,6,4567,1
260,218,15,4566,1
349,163,5,4560,1
255,254,2,4560,1
277,171,3,4580,1
278,149,9,4545,1
273,157,6,4579,1
222,197,2,4576,1
250,210,11,4580,1
266,211,3,4575,1
263,219,19,4568,1
578,252,35,4538,4
493,211,24,4526,4
550,145,29,4541,4
491,241,34,4533,4
524,162,25,4531,4
505,172,29,4578,4
518,153,24,4556,4
571,273,38,4565,4
569,219,37,4552,4
496,255,38,4585,4
425,269,38,4597,4
476,209,35,4567,4
539,157,35,4567,4
578,170,29,4548,4
527,178,32,4541,4
470,268,32,4554,4
531,207,38,4548,4
550,216,38,4592,4
551,238,38,4573,4
595,275,38,4571,4
601,153,31,4559,4
476,251,40,4549,4
527,223,37,4558,4
461,220,28,4549,4
489,213,31,4551,4
440,154,29,4583,4
495,186,16,4597,4
389,257,33,4574,4
530,167,26,4563,4
511,172,32,4553,4
558,152,36,4552,4
531,240,27,4568,4
540,258,38,4565,4
588,227,38,4565,4
604,285,33,4575,4
604,158,38,4592,4
590,152,30,4549,4
609,282,38,4607,4
615,165,38,4602,4
556,157,30,4591,4
597,161,38,4585,4
501,194,35,4569,4
409,188,17,4593,4
591,146,38,4555,4
549,199,34,4562,4
513,300,37,4551,4
462,274,21,4593,4
441,218,13,4561,4
541,152,38,4557,4
482,218,28,4556,4
454,199,30,4562,4
511,174,37,4524,4
547,189,30,4558,4
400,207,17,4540,4
540,219,29,4546,4
495,225,29,4546,4
490,193,32,4543,4
618,172,38,4533,4
477,163,18,4572,4
465,163,18,4552,4
518,276,19,4557,4
473,169,15,4582,4
559,167,38,4581,4
464,220,25,4578,4
506,234,31,4543,4
539,173,24,4555,4
495,165,31,4550,4
460,234,38,4549,4
470,157,19,4547,4
533,156,18,4543,4
558,846,38,4511,4
558,156,25,4543,4
468,150,13,4548,4
565,271,38,4563,4
606,188,38,4549,4
627,165,31,4540,4
595,170,26,4531,4
546,189,38,4545,4
569,155,38,4567,4
590,154,38,4594,4
546,232,31,4577,4
540,195,25,4589,4
462,167,38,4581,4
438,177,18,4586,4
536,189,38,4578,4
582,164,38,4570,4
