"3상유도전동기","벨트처짐","소음","진동","속도"
261,159,8,4749,1
234,171,3,4748,1
269,213,6,4745,1
238,179,5,4746,1
263,187,5,4745,1
262,165,5,4746,1
336,178,14,4750,1
297,161,2,4746,1
268,166,9,4749,1
258,150,3,4749,1
298,163,4,4742,1
282,173,4,4747,1
259,157,6,4744,1
257,169,6,4744,1
258,162,6,4739,1
312,173,13,4747,1
262,155,8,4741,1
279,157,6,4746,1
247,175,6,4748,1
257,174,8,4749,1
228,158,2,4747,1
277,163,10,4773,1
249,235,5,4777,1
239,183,9,4779,1
250,154,5,4777,1
271,160,4,4776,1
300,168,8,4776,1
253,184,16,4771,1
277,194,6,4774,1
291,199,7,4774,1
289,157,10,4771,1
280,239,14,4766,1
277,183,5,4766,1
279,154,5,4756,1
348,172,9,4752,1
242,178,4,4751,1
247,175,4,4746,1
256,247,3,4738,1
256,153,3,4735,1
240,169,7,4747,1
287,234,7,4736,1
255,445,5,4754,1
264,165,3,4757,1
278,161,6,4758,1
258,159,6,4759,1
320,245,17,4754,1
260,250,4,4747,1
268,197,6,4737,1
257,162,14,4730,1
328,161,8,4731,1
270,156,7,4726,1
282,212,10,4732,1
263,232,12,4732,1
281,177,13,4736,1
257,193,11,4742,1
258,173,19,4737,1
239,632,8,4740,1
299,168,8,4770,1
269,242,3,4757,1
270,170,8,4763,1
305,189,6,4765,1
326,171,15,4765,1
348,161,6,4748,1
294,157,4,4738,1
334,154,12,4743,1
320,205,6,4728,1
337,176,20,4733,1
274,181,9,4732,1
378,190,22,4742,1
302,172,11,4749,1
325,186,13,4757,1
240,197,4,4756,1
275,185,13,4757,1
272,168,8,4747,1
269,182,9,4739,1
293,158,5,4736,1
250,238,7,4735,1
277,252,5,4730,1
269,241,12,4728,1
264,163,4,4733,1
250,224,4,4758,1
269,160,6,4761,1
267,174,3,4764,1
291,166,3,4767,1
270,168,5,4760,1
319,234,3,4764,1
286,185,26,4752,1
314,173,3,4749,1
229,171,3,4743,1
307,162,3,4743,1
270,175,8,4732,1
311,212,15,4726,1
243,203,15,4726,1
247,217,6,4732,1
256,245,11,4737,1
240,185,7,4743,1
258,229,4,4744,1
259,223,11,4745,1
252,217,7,4723,1
240,202,6,4721,1
273,225,11,4727,1
241,190,8,4724,1
285,222,4,4732,1
231,208,11,4727,1
261,170,4,4730,1
235,220,6,4730,1
297,164,7,4737,1
282,160,5,4743,1
249,170,8,4754,1
276,420,4,4761,1
264,183,8,4756,1
254,227,3,4762,1
279,157,4,4760,1
279,154,15,4753,1
244,201,6,4749,1
304,172,13,4745,1
270,162,5,4739,1
271,213,10,4733,1
250,189,20,4726,1
295,158,5,4724,1
244,157,6,4738,1
291,158,21,4740,1
247,245,9,4743,1
281,155,6,4749,1
261,161,4,4736,1
228,200,4,4722,1
241,186,3,4723,1
254,160,12,4721,1
280,162,6,4725,1
242,177,4,4726,1
274,174,10,4728,1
261,155,11,4731,1
346,158,6,4731,1
266,171,3,4740,1
253,243,2,4755,1
245,223,2,4755,1
245,194,8,4760,1
246,871,3,4759,1
272,214,4,4730,1
251,409,4,4755,1
260,183,6,4725,1
291,178,6,4719,1
261,239,4,4721,1
219,191,3,4727,1
246,186,7,4732,1
249,183,4,4736,1
254,174,4,4738,1
283,163,2,4742,1
249,175,5,4744,1
289,171,4,4749,1
220,189,15,4737,1
288,172,5,4729,1
251,878,9,4724,1
279,178,3,4717,1
305,881,8,4719,1
305,208,8,4719,1
289,175,11,4727,1
293,169,11,4726,1
281,211,10,4736,1
278,156,8,4757,1
302,157,7,4757,1
250,237,5,4756,1
260,183,6,4745,1
251,168,6,4735,1
303,155,14,4734,1
250,171,1,4728,1
252,173,17,4721,1
255,168,6,4717,1
234,214,8,4722,1
258,185,5,4725,1
296,156,9,4734,1
272,160,9,4740,1
265,235,6,4740,1
276,212,6,4740,1
265,225,21,4733,1
266,236,7,4718,1
263,166,16,4713,1
281,156,5,4706,1
238,175,7,4715,1
268,188,4,4722,1
239,197,3,4733,1
305,157,10,4739,1
254,169,10,4739,1
284,225,4,4747,1
274,245,4,4754,1
308,164,5,4760,1
245,178,4,4754,1
248,194,7,4757,1
258,224,3,4752,1
265,173,6,4744,1
250,217,6,4741,1
270,184,10,4736,1
304,160,11,4730,1
285,165,7,4735,1
251,203,5,4721,1
251,214,11,4720,1
321,156,8,4724,1
249,225,4,4727,1
283,158,10,4731,1
230,198,6,4734,1
312,158,5,4733,1
249,166,9,4734,1
266,221,6,4734,1
248,921,7,4724,1
247,174,7,4713,1
286,165,8,4713,1
267,170,7,4692,1
255,196,12,4692,1
247,181,4,4695,1
292,197,15,4698,1
268,166,6,4694,1
251,233,11,4693,1
421,170,11,4695,1
301,196,5,4694,1
242,194,10,4725,1
263,204,17,4706,1
240,174,7,4709,1
294,182,4,4716,1
223,201,5,4741,1
276,252,10,4739,1
248,169,4,4744,1
268,158,12,4741,1
264,230,6,4737,1
283,181,8,4731,1
272,190,12,4722,1
270,218,7,4712,1
247,212,2,4712,1
247,183,17,4710,1
295,158,7,4706,1
253,175,3,4711,1
279,179,6,4702,1
238,178,11,4700,1
290,160,7,4694,1
252,167,5,4691,1
266,224,4,4695,1
246,173,2,4710,1
313,153,2,4710,1
269,712,7,4714,1
269,161,8,4682,1
267,903,5,4679,1
245,195,8,4679,1
288,204,4,4697,1
295,171,8,4701,1
267,214,4,4701,1
280,197,10,4704,1
323,239,4,4705,1
260,229,9,4707,1
329,162,4,4714,1
243,221,12,4715,1
240,193,6,4721,1
254,152,6,4727,1
282,154,4,4727,1
258,160,20,4732,1
251,247,8,4734,1
273,888,9,4718,1
299,166,15,4721,1
262,158,12,4708,1
260,212,2,4714,1
257,180,3,4685,1
257,155,5,4683,1
268,173,13,4687,1
269,164,13,4687,1
328,168,8,4686,1
255,166,6,4675,1
284,169,10,4681,1
243,206,14,4696,1
261,161,8,4698,1
239,173,4,4698,1
279,223,13,4693,1
286,158,9,4698,1
287,174,13,4699,1
229,187,4,4702,1
258,182,5,4703,1
231,177,6,4707,1
285,196,13,4721,1
260,159,3,4703,1
267,195,13,4710,1
230,182,13,4725,1
282,170,8,4706,1
261,459,8,4704,1
261,172,11,4704,1
285,179,3,4707,1
267,239,7,4700,1
276,164,6,4694,1
218,178,5,4694,1
264,186,3,4694,1
266,179,9,4689,1
237,204,5,4700,1
249,244,7,4690,1
299,197,5,4694,1
229,188,5,4699,1
254,210,5,4699,1
289,169,4,4705,1
278,159,5,4706,1
249,227,7,4704,1
292,168,9,4703,1
254,280,4,4710,1
273,171,3,4686,1
252,245,6,4686,1
263,164,9,4684,1
529,935,40,4684,4
615,176,40,4708,4
565,205,40,4721,4
599,900,30,4699,4
566,182,16,4694,4
548,206,40,4664,4
548,218,40,4687,4
601,884,35,4684,4
586,225,32,4662,4
562,187,39,4686,4
600,177,40,4699,4
627,176,38,4689,4
620,173,40,4643,4
573,168,40,4729,4
506,193,28,4684,4
579,192,40,4677,4
596,213,16,4674,4
635,176,40,4694,4
609,182,40,4694,4
567,924,35,4689,4
636,818,35,4689,4
634,178,40,4686,4
570,182,31,4703,4
591,195,40,4710,4
546,197,40,4695,4
618,197,40,4682,4
563,217,40,4701,4
622,181,40,4689,4
655,169,38,4691,4
643,869,40,4728,4
595,164,40,4697,4
625,176,34,4691,4
612,856,40,4695,4
635,183,40,4710,4
596,197,40,4694,4
603,197,40,4668,4
609,820,40,4669,4
628,257,40,4696,4
616,183,40,4649,4
623,186,40,4644,4
631,188,38,4732,4
627,234,40,4705,4
586,188,40,4693,4
627,171,40,4650,4
636,229,40,4663,4
632,229,40,4676,4
621,186,40,4720,4
600,201,40,4684,4
591,201,40,4676,4
641,857,40,4700,4
617,194,38,4729,4
551,189,29,4674,4
601,207,23,4691,4
617,181,33,4699,4
627,232,34,4689,4
639,169,40,4671,4
628,822,40,4663,4
653,182,40,4694,4
585,213,40,4629,4
588,229,40,4665,4
649,889,40,4717,4
615,840,40,4692,4
638,926,40,4671,4
604,196,40,4691,4
623,207,40,4724,4
633,177,37,4674,4
639,171,38,4730,4
602,242,38,4712,4
588,880,38,4702,4
660,195,38,4694,4
599,195,38,4694,4
625,182,40,4720,4
582,170,34,4702,4
608,948,32,4699,4
615,168,38,4717,4
605,215,38,4731,4
630,189,30,4712,4
638,173,37,4714,4
587,256,33,4683,4
627,175,37,4693,4
639,837,38,4738,4
646,167,38,4685,4
629,170,38,4689,4
636,177,38,4653,4
606,201,38,4676,4
613,205,38,4733,4
640,187,35,4684,4
571,195,32,4673,4
575,222,38,4684,4
626,171,29,4676,4
578,165,28,4647,4
607,203,38,4665,4
621,963,38,4670,4
623,269,38,4685,4
632,172,38,4724,4
613,183,38,4712,4
554,190,38,4703,4
523,213,30,4689,4
617,168,38,4686,4
593,230,38,4696,4
623,241,21,4697,4
620,193,24,4688,4
614,196,39,4655,4
577,205,38,4710,4
651,179,38,4685,4
633,259,38,4678,4
626,189,38,4674,4
593,235,38,4658,4
593,197,38,4755,4
560,189,38,4692,4
608,172,38,4673,4
543,183,26,4726,4
556,185,19,4700,4
635,177,26,4665,4
559,185,37,4734,4
608,218,38,4731,4
593,227,38,4671,4
620,172,38,4704,4
639,294,38,4717,4
610,248,38,4687,4
613,184,38,4718,4
632,190,38,4684,4
622,817,35,4714,4
579,183,30,4692,4
625,905,38,4670,4
635,193,38,4677,4
618,182,38,4693,4
620,345,38,4683,4
631,230,38,4703,4
621,214,38,4699,4
609,209,38,4709,4
614,251,38,4655,4
600,197,38,4672,4
575,197,38,4681,4
615,240,34,4653,4
652,856,28,4646,4
652,888,33,4670,4
595,175,38,4675,4
596,195,27,4696,4
621,182,38,4736,4
644,180,38,4714,4
630,187,38,4694,4
600,204,38,4692,4
513,234,38,4693,4
623,190,38,4675,4
595,188,36,4688,4
596,176,31,4692,4
636,195,31,4657,4
634,192,37,4689,4
638,175,38,4721,4
627,170,38,4663,4
614,240,38,4677,4
623,189,38,4687,4
611,186,38,4702,4
608,228,38,4683,4
641,210,38,4690,4
630,167,38,4681,4
625,256,38,4709,4
627,222,38,4712,4
642,907,19,4712,4
615,190,36,4688,4
633,181,38,4705,4
608,231,38,4712,4
663,187,38,4703,4
613,221,38,4703,4
587,177,38,4711,4
631,415,38,4684,4
623,174,38,4738,4
600,234,38,4690,4
608,249,38,4704,4
614,169,29,4710,4
610,182,31,4705,4
605,231,38,4704,4
611,192,38,4705,4
588,222,38,4694,4
620,179,38,4720,4
614,184,38,4674,4
608,188,38,4684,4
588,185,20,4699,4
533,251,16,4709,4
549,169,24,4699,4
604,828,36,4676,4
628,381,35,4695,4
595,218,29,4718,4
551,191,26,4729,4
576,196,36,4704,4
594,185,38,4660,4
559,211,38,4669,4
605,181,38,4702,4
614,193,38,4682,4
642,173,38,4692,4
601,224,38,4717,4
606,166,38,4703,4
624,336,36,4658,4
639,241,38,4681,4
614,182,38,4675,4
621,237,32,4681,4
583,205,38,4685,4
586,186,38,4648,4
586,240,38,4663,4
593,847,38,4650,4
610,198,38,4649,4
589,247,38,4672,4
602,186,38,4675,4
625,173,38,4645,4
600,519,36,4638,4
566,191,32,4681,4
599,205,25,4720,4
626,210,38,4727,4
633,183,38,4693,4
527,183,38,4676,4
634,185,38,4720,4
560,253,38,4721,4
632,242,38,4727,4
626,238,38,4680,4
630,174,32,4690,4
600,175,38,4740,4
607,200,38,4707,4
612,191,37,4697,4
654,858,38,4731,4
638,175,38,4771,4
593,208,38,4721,4
613,232,38,4731,4
613,200,38,4690,4
597,207,38,4700,4
614,182,38,4694,4
607,202,34,4696,4
567,169,26,4695,4
593,195,36,4678,4
