"3상유도전동기","벨트처짐","소음","진동","속도"
193,225,2,4557,1
226,145,5,4555,1
198,195,0,4554,1
198,198,2,4575,1
213,240,8,4577,1
211,171,3,4555,1
226,170,1,4580,1
199,304,2,4579,1
208,165,1,4580,1
226,154,4,4579,1
225,143,5,4579,1
202,176,3,4578,1
225,190,3,4577,1
229,155,2,4570,1
287,159,1,4566,1
223,312,3,4565,1
221,142,2,4558,1
206,166,1,4561,1
212,160,2,4555,1
213,313,3,4555,1
190,212,2,4562,1
206,277,5,4561,1
209,265,3,4558,1
206,160,1,4560,1
197,177,5,4560,1
228,185,3,4562,1
200,260,3,4563,1
204,187,2,4568,1
204,253,2,4568,1
224,161,2,4572,1
227,302,7,4575,1
211,233,4,4577,1
203,206,1,4578,1
226,165,7,4581,1
225,148,1,4583,1
191,186,4,4592,1
197,188,7,4593,1
198,211,2,4587,1
203,183,2,4593,1
226,162,3,4597,1
241,242,4,4595,1
187,210,2,4596,1
250,149,3,4581,1
202,159,1,4593,1
198,186,5,4594,1
213,208,3,4592,1
200,173,3,4592,1
210,195,3,4590,1
239,179,1,4596,1
237,142,7,4595,1
236,216,4,4590,1
188,251,0,4592,1
237,204,9,4589,1
222,144,2,4587,1
230,275,3,4586,1
231,145,6,4589,1
228,195,2,4587,1
235,194,1,4587,1
248,164,11,4591,1
205,176,8,4589,1
253,207,1,4585,1
229,245,14,4593,1
203,174,2,4569,1
223,161,4,4587,1
252,153,5,4566,1
227,196,3,4567,1
209,159,1,4567,1
201,210,3,4572,1
215,232,0,4573,1
191,203,1,4573,1
208,286,9,4577,1
204,269,3,4582,1
199,264,5,4583,1
186,252,2,4585,1
189,226,4,4586,1
213,292,1,4593,1
217,145,2,4595,1
230,145,7,4594,1
225,144,2,4591,1
239,159,2,4591,1
219,242,2,4582,1
212,163,3,4577,1
203,167,5,4595,1
248,280,7,4589,1
208,196,2,4562,1
219,170,4,4578,1
224,244,2,4568,1
226,167,8,4567,1
192,241,2,4558,1
216,295,3,4558,1
207,166,7,4558,1
210,158,4,4556,1
184,210,1,4551,1
228,184,13,4551,1
212,139,1,4549,1
226,150,4,4543,1
189,183,2,4548,1
223,147,3,4550,1
217,183,1,4545,1
192,222,2,4548,1
216,200,4,4548,1
205,238,4,4545,1
215,252,5,4551,1
180,218,5,4547,1
203,183,2,4545,1
197,294,6,4552,1
231,153,0,4550,1
204,156,5,4551,1
213,314,1,4551,1
208,162,1,4551,1
222,305,4,4552,1
195,225,4,4546,1
269,150,10,4546,1
213,152,1,4551,1
212,266,3,4546,1
208,175,3,4555,1
209,261,3,4549,1
242,228,0,4568,1
229,881,4,4574,1
214,182,1,4576,1
267,154,10,4576,1
212,279,6,4577,1
184,206,1,4577,1
217,270,1,4577,1
191,287,5,4559,1
204,211,2,4573,1
217,254,4,4576,1
254,175,8,4582,1
216,257,15,4576,1
231,151,3,4577,1
251,156,11,4580,1
267,162,22,4583,1
229,162,3,4572,1
223,231,2,4566,1
241,159,0,4559,1
237,246,7,4558,1
210,157,5,4553,1
183,277,0,4556,1
207,245,6,4556,1
223,178,1,4561,1
213,186,1,4567,1
206,164,1,4565,1
223,252,3,4567,1
210,207,1,4569,1
213,171,2,4565,1
211,233,3,4562,1
222,155,0,4562,1
225,267,10,4563,1
236,160,3,4561,1
225,153,4,4563,1
218,167,9,4563,1
242,159,1,4563,1
203,839,11,4565,1
213,261,1,4572,1
193,232,1,4573,1
198,212,1,4570,1
212,163,3,4574,1
215,274,5,4572,1
239,148,3,4584,1
231,171,2,4578,1
245,186,6,4580,1
199,201,2,4585,1
213,171,7,4590,1
228,151,2,4586,1
203,174,7,4564,1
248,152,7,4585,1
250,239,2,4571,1
202,206,2,4569,1
232,232,6,4574,1
197,214,2,4569,1
235,145,9,4580,1
243,211,1,4575,1
200,207,2,4581,1
192,181,13,4581,1
198,180,2,4589,1
215,220,4,4591,1
198,241,19,4593,1
232,184,3,4599,1
229,222,1,4593,1
259,146,10,4586,1
192,224,2,4578,1
226,176,8,4574,1
241,201,5,4587,1
198,175,3,4562,1
205,205,4,4588,1
222,294,3,4587,1
255,145,5,4579,1
205,205,4,4576,1
196,205,1,4570,1
220,141,0,4566,1
210,180,3,4561,1
227,145,2,4559,1
223,173,2,4559,1
214,254,2,4560,1
211,268,4,4559,1
223,139,3,4561,1
204,219,3,4557,1
237,185,8,4559,1
237,223,5,4558,1
228,239,8,4550,1
247,151,3,4552,1
188,223,4,4555,1
224,251,1,4555,1
236,249,5,4587,1
203,200,7,4589,1
215,167,4,4568,1
277,171,8,4580,1
276,195,15,4588,1
228,196,2,4587,1
252,205,4,4574,1
224,153,2,4562,1
231,167,2,4559,1
225,171,3,4557,1
224,146,4,4562,1
210,178,3,4567,1
240,145,5,4571,1
227,194,6,4576,1
231,173,7,4584,1
212,217,6,4584,1
220,202,5,4591,1
190,251,5,4598,1
216,181,4,4597,1
223,197,6,4597,1
231,190,22,4591,1
222,206,2,4591,1
260,172,3,4587,1
209,196,2,4593,1
225,147,4,4597,1
254,169,4,4590,1
231,893,14,4582,1
220,198,2,4581,1
210,276,3,4574,1
222,181,3,4574,1
217,143,5,4563,1
204,209,2,4567,1
227,175,4,4567,1
219,217,7,4560,1
245,150,2,4558,1
220,164,7,4555,1
200,239,3,4548,1
208,304,3,4546,1
226,154,5,4552,1
221,182,1,4561,1
274,154,6,4560,1
236,177,6,4563,1
225,160,1,4553,1
228,156,4,4551,1
212,207,6,4559,1
239,162,3,4550,1
215,303,9,4553,1
209,148,1,4570,1
215,240,4,4576,1
247,234,6,4586,1
227,159,3,4589,1
248,145,7,4584,1
246,168,1,4587,1
234,157,1,4587,1
217,191,4,4577,1
254,229,6,4576,1
213,183,3,4573,1
249,184,4,4564,1
236,203,3,4584,1
204,233,5,4566,1
201,163,3,4580,1
277,166,1,4582,1
242,153,11,4561,1
197,199,6,4578,1
204,241,0,4578,1
274,216,12,4577,1
230,205,5,4576,1
236,161,11,4587,1
259,194,5,4579,1
248,183,7,4584,1
260,212,16,4582,1
231,218,1,4580,1
332,155,9,4567,1
317,166,16,4581,1
232,228,5,4566,1
245,164,5,4568,1
280,271,18,4569,1
237,149,7,4567,1
211,166,3,4568,1
255,145,6,4574,1
256,152,8,4575,1
243,301,3,4575,1
250,164,9,4559,1
256,146,8,4563,1
256,162,6,4566,1
270,276,17,4562,1
226,235,8,4573,1
231,163,10,4586,1
237,282,13,4582,1
264,192,3,4585,1
271,155,13,4586,1
220,187,2,4595,1
263,270,6,4599,1
250,149,4,4596,1
256,142,6,4593,1
290,216,4,4589,1
272,162,10,4599,1
615,180,38,4599,4
621,181,38,4580,4
608,254,38,4605,4
618,282,38,4612,4
590,211,38,4626,4
583,195,38,4593,4
609,246,38,4599,4
549,217,38,4601,4
508,210,38,4601,4
469,171,21,4612,4
535,152,34,4595,4
499,182,28,4601,4
534,257,35,4630,4
606,162,38,4578,4
608,274,38,4588,4
566,226,38,4603,4
585,191,38,4598,4
576,146,20,4583,4
580,208,25,4609,4
589,179,38,4602,4
606,269,22,4589,4
591,185,38,4587,4
521,320,34,4588,4
489,245,23,4574,4
542,182,33,4612,4
588,241,23,4593,4
576,199,36,4622,4
606,178,38,4613,4
524,271,38,4580,4
595,180,37,4619,4
539,173,38,4588,4
498,167,38,4588,4
574,213,31,4577,4
590,148,37,4602,4
568,147,37,4633,4
600,231,38,4646,4
596,217,38,4619,4
565,169,23,4598,4
545,282,30,4607,4
556,186,38,4550,4
587,234,38,4595,4
489,176,34,4587,4
550,160,32,4584,4
580,149,38,4553,4
554,206,31,4567,4
529,210,35,4577,4
573,209,33,4605,4
619,158,36,4579,4
532,151,38,4593,4
616,156,32,4570,4
536,159,38,4579,4
556,155,37,4576,4
544,179,25,4569,4
562,272,38,4567,4
612,211,38,4568,4
442,206,39,4569,4
565,272,34,4544,4
571,178,34,4544,4
593,165,40,4562,4
574,287,30,4595,4
534,261,27,4564,4
555,156,32,4575,4
557,170,28,4563,4
540,169,40,4570,4
491,239,24,4548,4
469,258,24,4545,4
479,214,38,4564,4
506,205,25,4537,4
559,187,36,4549,4
492,242,28,4562,4
575,189,38,4602,4
574,273,32,4591,4
580,221,32,4606,4
540,195,25,4564,4
562,208,38,4606,4
571,189,27,4594,4
609,163,26,4596,4
575,217,38,4599,4
519,172,26,4601,4
447,160,25,4590,4
430,141,24,4571,4
372,198,17,4568,4
467,230,19,4567,4
