"3상유도전동기","벨트처짐","소음","진동","속도"
232,252,18,4562,1
238,179,8,4562,1
259,151,9,4566,1
248,161,3,4564,1
264,900,9,4568,1
251,168,9,4570,1
298,224,6,4572,1
254,163,1,4567,1
233,251,2,4568,1
248,196,12,4572,1
235,201,3,4573,1
223,220,3,4579,1
222,179,12,4589,1
239,162,7,4600,1
230,165,0,4595,1
295,565,5,4596,1
231,166,3,4590,1
247,222,4,4585,1
251,266,5,4579,1
279,194,4,4576,1
228,253,4,4568,1
283,164,5,4563,1
225,265,3,4566,1
250,211,3,4560,1
232,233,3,4560,1
247,209,1,4564,1
210,172,4,4563,1
226,182,2,4564,1
226,163,3,4574,1
248,173,8,4578,1
249,182,5,4580,1
209,235,3,4583,1
219,209,7,4572,1
184,196,2,4586,1
238,277,4,4565,1
234,166,5,4568,1
266,204,6,4567,1
249,200,3,4568,1
269,168,11,4560,1
217,245,2,4555,1
289,894,9,4555,1
214,183,1,4559,1
300,413,6,4558,1
234,168,2,4561,1
300,902,3,4556,1
229,156,3,4565,1
254,161,4,4564,1
259,152,5,4564,1
238,269,7,4562,1
264,169,16,4566,1
234,203,4,4565,1
236,165,1,4569,1
252,228,10,4597,1
222,202,3,4568,1
226,204,6,4593,1
224,235,12,4596,1
227,161,4,4598,1
223,204,7,4597,1
217,289,7,4602,1
247,163,13,4599,1
248,154,6,4600,1
273,946,1,4601,1
239,234,6,4594,1
260,961,2,4599,1
206,243,3,4596,1
255,190,15,4597,1
234,161,1,4598,1
245,198,9,4601,1
219,183,2,4599,1
315,373,5,4592,1
225,228,6,4594,1
257,174,2,4571,1
218,230,2,4566,1
231,159,3,4590,1
219,186,8,4566,1
225,172,5,4561,1
219,158,2,4562,1
231,194,9,4563,1
228,207,4,4558,1
196,208,4,4559,1
255,187,3,4562,1
222,195,3,4562,1
231,173,2,4556,1
251,163,7,4557,1
256,219,3,4562,1
250,161,5,4565,1
322,553,12,4570,1
233,160,5,4570,1
235,235,17,4580,1
235,255,4,4577,1
242,233,20,4577,1
207,206,7,4578,1
233,234,6,4553,1
215,178,3,4574,1
227,228,11,4553,1
253,189,4,4554,1
223,203,12,4557,1
225,235,4,4555,1
218,182,4,4555,1
259,166,14,4552,1
206,207,5,4555,1
249,826,2,4552,1
228,170,1,4559,1
285,246,10,4553,1
232,158,3,4557,1
287,959,3,4557,1
236,159,6,4555,1
301,228,3,4557,1
212,187,2,4552,1
238,160,4,4557,1
223,220,2,4555,1
256,166,4,4553,1
237,257,11,4575,1
224,181,3,4576,1
225,181,10,4576,1
261,171,1,4575,1
229,251,4,4578,1
220,222,11,4581,1
231,201,3,4581,1
231,179,5,4582,1
214,180,16,4583,1
237,226,4,4574,1
289,170,4,4579,1
215,225,4,4573,1
270,924,7,4563,1
225,171,1,4565,1
302,301,5,4564,1
210,207,7,4559,1
240,220,2,4560,1
245,153,2,4562,1
233,198,5,4580,1
238,194,4,4560,1
287,186,5,4570,1
249,170,6,4568,1
233,211,6,4568,1
229,214,2,4570,1
224,175,2,4574,1
261,180,14,4571,1
257,167,0,4571,1
263,166,7,4563,1
239,158,5,4562,1
248,170,6,4564,1
199,203,1,4565,1
316,505,6,4562,1
234,266,12,4568,1
255,248,2,4568,1
228,199,6,4564,1
276,169,5,4569,1
238,160,1,4572,1
221,205,3,4575,1
223,154,4,4575,1
257,240,9,4590,1
216,190,3,4590,1
218,192,6,4587,1
204,210,2,4594,1
223,157,2,4596,1
237,167,4,4595,1
231,151,4,4590,1
249,158,5,4594,1
256,166,2,4588,1
281,919,6,4593,1
222,258,3,4592,1
307,930,4,4592,1
238,185,4,4591,1
256,192,7,4588,1
196,212,0,4586,1
280,428,3,4583,1
265,218,3,4595,1
259,176,5,4583,1
231,197,1,4597,1
259,186,6,4576,1
248,181,2,4571,1
226,249,2,4571,1
231,171,4,4594,1
253,183,16,4589,1
206,236,2,4587,1
242,161,21,4583,1
228,193,3,4575,1
238,179,27,4570,1
212,183,1,4566,1
211,199,15,4563,1
266,158,9,4570,1
222,165,5,4567,1
262,240,5,4573,1
223,947,10,4572,1
273,873,5,4577,1
216,253,6,4574,1
297,234,3,4573,1
220,171,4,4579,1
267,170,11,4580,1
211,219,2,4580,1
233,178,2,4601,1
224,159,4,4577,1
225,166,3,4599,1
201,214,6,4598,1
230,161,3,4600,1
223,250,3,4596,1
222,175,3,4597,1
231,822,2,4596,1
218,212,1,4594,1
270,206,1,4596,1
234,159,3,4594,1
258,207,1,4598,1
195,198,2,4595,1
230,196,3,4595,1
218,259,4,4599,1
226,197,1,4593,1
221,161,6,4599,1
215,221,2,4599,1
215,199,1,4582,1
220,159,1,4584,1
194,189,2,4577,1
198,182,6,4578,1
209,170,4,4573,1
204,214,2,4570,1
222,155,2,4571,1
222,261,2,4571,1
216,219,3,4570,1
238,231,1,4570,1
284,163,9,4564,1
214,273,2,4563,1
269,162,1,4564,1
212,173,3,4566,1
232,242,5,4564,1
231,225,3,4568,1
237,187,11,4567,1
228,226,4,4570,1
223,227,4,4570,1
189,207,1,4573,1
225,257,1,4573,1
211,169,7,4569,1
196,196,2,4562,1
213,167,7,4571,1
210,180,5,4562,1
235,273,2,4562,1
232,167,2,4558,1
240,156,7,4558,1
200,182,2,4562,1
282,307,2,4565,1
222,165,9,4564,1
234,186,4,4565,1
202,157,3,4566,1
207,215,2,4567,1
210,158,1,4570,1
237,161,3,4568,1
232,156,4,4566,1
232,177,3,4570,1
212,227,3,4568,1
236,195,2,4568,1
247,169,8,4573,1
206,191,6,4576,1
219,190,2,4570,1
204,254,4,4561,1
199,191,5,4558,1
212,224,5,4566,1
262,158,3,4556,1
208,201,4,4560,1
200,190,6,4557,1
218,167,5,4561,1
257,890,2,4555,1
211,211,3,4561,1
252,158,3,4559,1
201,176,3,4556,1
232,217,6,4562,1
217,174,4,4558,1
237,238,3,4561,1
197,251,3,4558,1
207,221,1,4558,1
223,156,3,4560,1
202,170,5,4565,1
191,184,2,4567,1
206,203,1,4560,1
237,247,3,4560,1
192,191,3,4561,1
220,204,3,4562,1
196,194,4,4566,1
230,160,4,4566,1
196,249,4,4568,1
221,177,2,4568,1
221,156,4,4570,1
229,160,6,4576,1
210,250,1,4573,1
193,234,2,4568,1
228,159,8,4575,1
230,166,6,4574,1
236,164,2,4575,1
228,166,7,4572,1
266,761,1,4571,1
218,184,2,4568,1
255,949,6,4566,1
185,211,8,4565,1
270,182,4,4572,1
208,187,2,4562,1
224,221,9,4579,1
213,179,0,4581,1
237,184,3,4582,1
198,177,1,4587,1
194,177,0,4561,1
197,183,0,4561,1
198,175,2,4560,1
401,205,16,4576,4
537,182,22,4587,4
489,202,31,4587,4
515,208,38,4590,4
525,204,37,4583,4
539,202,31,4590,4
539,163,38,4585,4
576,198,38,4576,4
550,204,38,4574,4
579,239,34,4575,4
620,163,25,4572,4
591,185,26,4574,4
604,183,38,4562,4
618,256,38,4572,4
637,888,36,4580,4
612,185,38,4576,4
591,211,38,4576,4
584,192,38,4573,4
614,180,38,4598,4
609,237,31,4566,4
515,166,26,4575,4
518,164,20,4590,4
500,250,23,4574,4
554,206,19,4574,4
563,179,38,4571,4
519,178,28,4571,4
583,224,38,4579,4
582,161,38,4568,4
488,161,22,4566,4
478,204,38,4586,4
520,857,30,4565,4
560,253,38,4572,4
605,222,37,4577,4
583,268,35,4577,4
542,178,37,4582,4
524,187,27,4578,4
585,887,31,4574,4
590,192,38,4586,4
556,249,28,4597,4
571,193,35,4599,4
592,206,38,4592,4
591,202,33,4584,4
556,244,32,4579,4
540,173,21,4570,4
568,237,30,4562,4
532,174,27,4572,4
597,356,38,4562,4
598,184,32,4572,4
598,208,40,4567,4
549,212,31,4555,4
528,185,40,4559,4
578,166,31,4571,4
574,418,40,4580,4
522,180,39,4557,4
576,249,28,4569,4
553,166,39,4557,4
568,206,24,4561,4
578,347,33,4570,4
576,163,40,4559,4
557,164,40,4567,4
517,200,32,4582,4
522,176,37,4557,4
483,195,33,4552,4
589,175,39,4559,4
607,220,23,4555,4
617,237,39,4583,4
585,222,37,4558,4
600,872,36,4558,4
607,886,40,4566,4
616,203,40,4552,4
626,245,40,4570,4
604,184,40,4571,4
572,194,40,4571,4
618,293,38,4543,4
602,222,34,4555,4
584,189,35,4561,4
551,184,35,4558,4
607,166,35,4571,4
574,212,38,4572,4
588,182,38,4549,4
578,157,28,4579,4
479,197,38,4565,4
553,191,32,4572,4
538,948,38,4583,4
497,212,31,4574,4
555,193,25,4570,4
573,201,38,4557,4
588,256,38,4557,4
610,165,28,4587,4
590,175,38,4560,4
571,248,38,4573,4
498,165,38,4573,4
511,163,30,4550,4
564,166,25,4546,4
542,239,26,4543,4
569,183,36,4567,4
598,200,35,4569,4
555,179,31,4571,4
532,212,38,4566,4
549,204,28,4555,4
577,175,27,4562,4
560,202,27,4571,4
598,217,39,4566,4
623,183,39,4573,4
609,160,39,4570,4
561,201,39,4568,4
523,179,35,4571,4
542,180,39,4544,4
557,191,28,4555,4
529,185,32,4580,4
591,938,39,4563,4
620,167,39,4563,4
570,195,31,4555,4
561,197,31,4555,4
579,195,33,4569,4
568,167,32,4568,4
588,160,28,4559,4
609,227,34,4583,4
615,236,38,4604,4
594,193,38,4613,4
624,190,38,4602,4
594,173,38,4576,4
581,227,38,4585,4
544,234,26,4605,4
585,233,38,4573,4
568,206,35,4585,4
621,177,38,4596,4
588,219,38,4606,4
538,198,26,4614,4
589,174,38,4593,4
600,174,38,4589,4
613,164,37,4603,4
618,239,38,4626,4
597,222,38,4628,4
563,234,29,4604,4
605,185,38,4608,4
608,229,35,4600,4
605,241,36,4620,4
641,163,26,4605,4
615,241,38,4599,4
616,169,38,4589,4
625,773,27,4605,4
643,857,38,4596,4
619,254,38,4601,4
563,185,36,4596,4
577,179,38,4598,4
623,199,38,4617,4
584,222,28,4600,4
602,211,36,4620,4
613,174,38,4595,4
622,180,38,4602,4
607,210,38,4602,4
625,209,38,4616,4
586,180,38,4587,4
560,198,38,4568,4
621,183,33,4597,4
619,174,38,4607,4
612,383,38,4589,4
609,160,38,4572,4
613,167,38,4579,4
619,168,33,4599,4
604,903,38,4572,4
609,169,38,4568,4
616,173,38,4565,4
609,238,38,4563,4
600,191,38,4573,4
611,183,35,4580,4
566,192,28,4563,4
621,173,33,4569,4
581,162,24,4571,4
601,168,38,4566,4
581,244,38,4576,4
630,167,30,4579,4
607,211,38,4594,4
611,232,38,4584,4
578,191,38,4578,4
635,421,38,4602,4
623,245,38,4562,4
599,249,38,4570,4
619,887,38,4618,4
588,176,38,4591,4
623,178,38,4602,4
594,212,37,4582,4
628,842,38,4591,4
615,168,38,4574,4
552,911,29,4596,4
607,254,30,4598,4
628,243,38,4596,4
602,823,38,4595,4
600,201,38,4613,4
588,163,38,4592,4
630,895,38,4576,4
614,185,38,4577,4
619,186,38,4612,4
629,167,38,4617,4
635,215,38,4589,4
607,205,32,4593,4
623,170,28,4594,4
594,253,38,4605,4
620,247,38,4590,4
615,176,38,4575,4
592,199,38,4603,4
593,235,27,4604,4
606,173,19,4598,4
572,179,38,4606,4
592,201,38,4593,4
639,883,38,4593,4
575,194,38,4600,4
606,886,38,4600,4
611,166,38,4595,4
591,183,38,4596,4
606,168,38,4595,4
636,249,38,4591,4
586,170,37,4613,4
606,226,38,4603,4
583,182,31,4590,4
554,237,23,4574,4
566,236,36,4570,4
590,162,38,4593,4
624,454,38,4607,4
585,250,38,4621,4
597,178,31,4590,4
589,193,38,4594,4
613,211,38,4593,4
613,250,38,4598,4
625,181,38,4602,4
604,179,38,4583,4
634,163,38,4588,4
616,183,38,4588,4
611,210,38,4613,4
609,211,38,4595,4
624,205,38,4595,4
619,206,38,4612,4
607,214,38,4607,4
610,198,38,4610,4
609,187,38,4598,4
592,204,38,4579,4
586,221,38,4587,4
574,899,38,4605,4
554,179,38,4603,4
562,187,38,4565,4
610,248,38,4571,4
599,248,38,4566,4
600,248,38,4571,4
595,675,33,4577,4
590,165,38,4566,4
568,183,38,4547,4
578,180,32,4550,4
606,407,38,4560,4
646,841,38,4561,4
608,226,38,4572,4
600,223,35,4569,4
624,179,38,4569,4
630,194,38,4570,4
611,185,38,4570,4
596,186,38,4584,4
605,249,35,4555,4
622,167,40,4560,4
602,227,40,4574,4
580,186,32,4559,4
618,166,40,4544,4
597,209,40,4550,4
566,188,32,4548,4
640,346,40,4565,4
567,182,39,4578,4
615,183,39,4571,4
617,164,38,4567,4
541,230,22,4564,4
604,184,38,4572,4
612,183,38,4562,4
601,190,38,4564,4
635,165,38,4589,4
640,170,38,4600,4
609,223,38,4584,4
589,229,38,4584,4
592,371,38,4615,4
636,173,38,4579,4
593,169,28,4598,4
596,212,38,4603,4
635,164,38,4587,4
576,853,38,4587,4
602,173,38,4587,4
540,190,38,4592,4
618,174,38,4569,4
614,168,38,4559,4
593,197,37,4565,4
622,177,38,4541,4
581,298,38,4565,4
623,478,31,4562,4
593,199,38,4555,4
619,182,38,4569,4
597,175,38,4568,4
574,210,38,4574,4
626,377,38,4549,4
610,232,28,4543,4
636,853,38,4570,4
607,182,38,4580,4
608,186,38,4583,4
616,177,38,4562,4
614,839,38,4570,4
661,196,38,4641,7
611,202,38,4637,7
639,173,38,4581,7
605,193,38,4607,7
625,249,39,4606,7
628,236,38,4652,7
632,171,38,4628,7
622,853,38,4587,7
628,178,38,4610,7
605,198,38,4628,7
644,174,38,4632,7
645,187,38,4604,7
639,169,38,4593,7
605,190,38,4619,7
665,802,38,4619,7
627,187,38,4593,7
631,802,38,4592,7
642,423,38,4592,7
621,197,38,4611,7
611,195,38,4600,7
623,227,38,4571,7
638,166,38,4567,7
658,319,37,4630,7
600,220,38,4610,7
633,295,38,4602,7
634,166,38,4573,7
614,194,38,4579,7
612,184,38,4608,7
639,175,38,4621,7
631,160,38,4577,7
634,199,38,4544,7
640,260,38,4577,7
613,193,38,4620,7
604,203,38,4594,7
626,188,38,4571,7
652,168,33,4563,7
615,198,38,4567,7
637,166,34,4594,7
634,170,38,4605,7
629,1034,38,4565,7
628,161,38,4565,7
638,189,38,4602,7
614,197,38,4629,7
628,171,38,4608,7
606,184,38,4599,7
646,191,38,4581,7
615,180,38,4580,7
638,176,38,4618,7
637,190,38,4624,7
629,210,38,4590,7
607,209,38,4564,7
645,254,38,4596,7
649,165,38,4632,7
630,169,38,4608,7
646,873,40,4607,7
608,199,38,4583,7
609,209,38,4610,7
628,536,38,4617,7
607,198,40,4595,7
641,642,40,4601,7
618,184,40,4553,7
609,197,38,4598,7
611,217,38,4598,7
629,183,40,4575,7
622,178,40,4575,7
629,207,40,4562,7
618,214,40,4578,7
651,171,40,4578,7
604,204,40,4558,7
648,310,40,4560,7
652,244,40,4578,7
646,1122,40,4580,7
640,213,38,4584,7
641,168,40,4560,7
629,225,40,4552,7
617,181,38,4543,7
630,176,38,4573,7
620,184,38,4608,7
661,404,38,4591,7
601,215,38,4557,7
619,270,38,4567,7
605,193,38,4577,7
616,193,38,4600,7
629,220,38,4610,7
622,166,38,4607,7
618,208,38,4587,7
620,203,38,4608,7
645,471,38,4608,7
611,943,38,4635,7
636,172,38,4635,7
609,200,38,4590,7
618,181,38,4583,7
615,634,38,4582,7
620,187,38,4602,7
629,175,38,4605,7
631,166,38,4588,7
646,829,38,4546,7
612,884,38,4567,7
621,180,38,4587,7
626,166,36,4581,7
627,237,38,4596,7
621,194,38,4575,7
612,180,38,4550,7
610,239,38,4577,7
623,235,38,4593,7
621,161,38,4594,7
633,792,39,4564,7
621,815,40,4567,7
632,175,40,4537,7
637,167,40,4569,7
623,186,40,4569,7
629,194,39,4587,7
604,218,38,4579,7
613,198,38,4557,7
610,201,38,4544,7
643,159,38,4587,7
638,177,38,4598,7
640,213,38,4586,7
620,763,38,4599,7
629,207,38,4582,7
624,820,38,4610,7
617,204,38,4613,7
665,193,38,4637,7
612,187,38,4620,7
643,854,38,4593,7
621,195,36,4606,7
616,189,38,4609,7
632,864,36,4607,7
649,292,38,4629,7
630,192,38,4611,7
631,169,38,4568,7
632,179,38,4605,7
642,267,38,4606,7
634,160,38,4622,7
633,175,38,4570,7
607,901,38,4571,7
613,185,38,4585,7
617,669,38,4615,7
639,166,38,4608,7
641,257,38,4590,7
628,172,38,4557,7
633,174,37,4566,7
598,187,37,4565,7
643,254,38,4593,7
632,163,38,4589,7
627,271,38,4581,7
639,821,38,4563,7
641,179,38,4573,7
607,185,38,4585,7
610,187,38,4606,7
638,184,38,4599,7
621,172,38,4577,7
602,214,38,4571,7
631,458,38,4582,7
635,179,38,4582,7
621,160,40,4588,7
602,234,40,4553,7
583,199,40,4553,7
589,213,38,4537,7
625,849,38,4573,7
609,189,38,4577,7
645,208,38,4597,7
610,274,38,4596,7
625,825,38,4572,7
634,169,38,4582,7
612,190,38,4586,7
624,231,38,4639,7
637,174,38,4624,7
630,179,38,4612,7
627,171,38,4618,7
617,217,37,4570,7
626,181,38,4589,7
604,212,38,4598,7
634,169,38,4621,7
667,864,38,4603,7
622,179,38,4564,7
573,192,38,4564,7
622,169,38,4573,7
616,213,38,4598,7
607,235,38,4584,7
606,217,38,4580,7
614,193,38,4590,7
604,217,38,4579,7
623,238,38,4608,7
649,177,38,4593,7
619,220,39,4590,7
626,497,40,4563,7
605,188,40,4547,7
619,221,40,4561,7
621,885,40,4562,7
649,927,39,4570,7
611,234,38,4603,7
637,168,38,4558,7
609,182,38,4567,7
616,200,38,4551,7
644,167,38,4566,7
