"3상유도전동기","벨트처짐","소음","진동","속도"
270,254,6,4630,1
225,180,4,4625,1
329,175,8,4630,1
269,216,7,4628,1
276,220,8,4632,1
239,229,4,4631,1
226,199,5,4609,1
266,165,2,4615,1
251,168,4,4613,1
258,227,8,4620,1
257,213,6,4599,1
238,235,11,4613,1
228,232,5,4581,1
227,208,4,4593,1
230,194,3,4582,1
244,178,3,4582,1
220,212,3,4602,1
240,878,3,4612,1
257,914,8,4611,1
266,186,6,4609,1
277,254,9,4607,1
262,224,10,4608,1
257,180,6,4609,1
255,213,8,4612,1
302,174,9,4613,1
279,178,4,4616,1
235,200,4,4618,1
276,182,5,4618,1
242,231,4,4621,1
235,203,10,4608,1
248,186,4,4613,1
247,156,1,4614,1
254,171,6,4620,1
298,933,8,4636,1
246,181,4,4637,1
250,234,10,4622,1
222,211,13,4625,1
252,216,9,4622,1
255,186,3,4625,1
238,208,11,4637,1
230,193,5,4634,1
256,200,4,4630,1
238,192,9,4636,1
232,222,2,4631,1
236,247,10,4632,1
265,259,11,4634,1
233,213,4,4637,1
246,187,3,4639,1
285,172,6,4634,1
244,193,4,4634,1
268,171,8,4632,1
249,175,7,4637,1
258,250,5,4599,1
266,215,8,4605,1
265,177,6,4608,1
242,189,6,4610,1
240,201,12,4622,1
234,214,6,4619,1
272,176,5,4610,1
241,230,10,4618,1
239,245,8,4622,1
275,176,14,4620,1
274,169,8,4630,1
236,242,9,4631,1
253,201,10,4632,1
243,179,6,4632,1
236,172,6,4630,1
265,232,10,4631,1
248,178,4,4621,1
255,156,10,4617,1
237,196,7,4608,1
260,168,9,4630,1
220,248,3,4630,1
273,214,7,4622,1
225,192,3,4612,1
265,172,3,4596,1
480,173,4,4586,1
237,240,4,4589,1
258,186,7,4594,1
261,171,5,4597,1
231,216,7,4581,1
266,235,11,4579,1
297,186,10,4581,1
275,168,8,4581,1
271,186,11,4591,1
250,188,1,4587,1
268,163,6,4623,1
281,172,6,4623,1
295,238,7,4621,1
257,172,7,4621,1
226,209,2,4614,1
258,200,7,4614,1
269,247,6,4623,1
223,190,3,4621,1
261,182,9,4620,1
257,168,9,4618,1
260,167,3,4617,1
257,225,15,4617,1
252,181,7,4598,1
253,166,5,4599,1
253,185,14,4595,1
228,203,5,4598,1
259,255,9,4601,1
233,212,5,4587,1
227,190,7,4579,1
271,237,5,4579,1
243,903,8,4582,1
227,198,6,4584,1
242,167,3,4584,1
220,193,15,4595,1
265,171,4,4595,1
371,179,4,4595,1
265,209,12,4598,1
296,177,3,4617,1
252,228,7,4617,1
338,245,7,4617,1
228,226,5,4620,1
274,183,3,4613,1
271,175,8,4618,1
279,192,9,4619,1
261,181,2,4614,1
274,184,4,4597,1
372,223,5,4595,1
281,181,6,4593,1
487,237,32,4597,1
526,188,36,4600,1
391,191,38,4589,1
571,194,28,4579,1
387,247,9,4587,1
408,206,29,4601,1
376,184,14,4587,1
488,175,23,4607,1
360,177,19,4608,1
255,201,8,4607,1
348,197,17,4606,1
258,190,24,4598,1
578,222,38,4603,1
340,167,4,4599,1
501,190,38,4602,1
464,368,23,4602,1
296,228,10,4603,1
261,180,3,4603,1
459,172,38,4606,1
533,204,33,4603,1
417,191,38,4585,1
323,176,27,4587,1
282,193,8,4591,1
277,202,22,4596,1
291,198,7,4596,1
245,185,5,4593,1
259,174,6,4590,1
250,213,6,4578,1
241,206,5,4578,1
312,176,4,4584,1
266,236,16,4578,1
303,174,6,4587,1
249,187,9,4598,1
252,170,5,4605,1
232,235,5,4605,1
223,196,7,4608,1
266,175,2,4612,1
