"3상유도전동기","벨트처짐","소음","진동","속도"
227,232,2,4805,1
212,179,1,4799,1
200,179,6,4797,1
251,160,3,4794,1
210,216,5,4791,1
244,168,4,4789,1
199,207,2,4797,1
297,228,0,4798,1
245,163,4,4796,1
211,221,11,4804,1
237,165,3,4808,1
215,223,4,4815,1
241,162,5,4793,1
219,234,1,4794,1
226,161,2,4795,1
195,182,2,4799,1
226,168,0,4804,1
228,157,3,4806,1
232,165,3,4813,1
217,236,0,4818,1
205,171,3,4824,1
224,172,1,4831,1
231,156,0,4827,1
221,159,2,4831,1
261,173,2,4833,1
250,215,5,4835,1
214,168,2,4830,1
233,237,1,4831,1
253,164,4,4823,1
190,200,3,4826,1
186,201,3,4831,1
203,181,2,4828,1
214,152,3,4806,1
200,219,2,4830,1
190,190,2,4829,1
189,185,3,4828,1
219,165,3,4821,1
228,161,6,4815,1
198,187,2,4807,1
212,178,2,4807,1
208,186,4,4806,1
231,169,2,4796,1
218,227,4,4796,1
196,191,4,4795,1
203,188,1,4796,1
203,184,2,4796,1
215,186,2,4792,1
227,165,2,4794,1
212,168,0,4797,1
225,153,2,4799,1
258,161,5,4794,1
218,168,5,4816,1
199,187,3,4820,1
217,172,3,4793,1
228,159,1,4804,1
204,221,4,4815,1
247,191,1,4820,1
246,165,5,4821,1
211,196,2,4819,1
225,168,2,4813,1
256,152,1,4810,1
200,221,3,4804,1
215,179,5,4799,1
232,218,3,4797,1
226,171,2,4794,1
223,208,2,4795,1
231,162,3,4792,1
231,168,2,4795,1
243,158,4,4795,1
247,159,4,4799,1
245,154,2,4801,1
253,175,2,4803,1
240,161,3,4797,1
240,154,10,4798,1
260,153,4,4798,1
238,239,2,4797,1
215,193,4,4794,1
235,181,7,4798,1
286,159,7,4803,1
234,182,2,4804,1
233,155,2,4804,1
214,211,3,4812,1
289,163,6,4823,1
263,166,9,4824,1
224,193,8,4831,1
217,167,2,4831,1
243,164,0,4830,1
235,175,3,4830,1
215,213,0,4828,1
203,182,3,4831,1
230,220,3,4824,1
200,184,2,4831,1
249,174,10,4831,1
233,225,1,4826,1
226,178,3,4819,1
209,181,1,4812,1
254,161,0,4801,1
217,169,5,4793,1
215,224,3,4791,1
197,190,1,4792,1
207,199,2,4793,1
233,218,1,4790,1
244,155,3,4789,1
207,186,3,4790,1
230,243,2,4794,1
243,157,2,4799,1
261,159,6,4805,1
220,170,5,4799,1
226,157,4,4817,1
234,182,4,4797,1
211,183,1,4819,1
226,245,7,4800,1
233,152,1,4809,1
223,201,2,4811,1
251,214,7,4812,1
235,169,4,4807,1
195,169,0,4808,1
204,185,4,4807,1
196,188,2,4804,1
245,162,4,4796,1
215,169,9,4793,1
216,184,8,4795,1
255,158,4,4793,1
212,204,1,4795,1
216,166,2,4793,1
236,164,1,4798,1
232,163,3,4805,1
240,162,6,4795,1
233,203,1,4795,1
206,179,1,4794,1
216,182,4,4830,1
215,213,5,4828,1
217,184,1,4809,1
222,170,3,4813,1
231,156,3,4819,1
217,235,3,4824,1
224,158,1,4824,1
