"3상유도전동기","벨트처짐","소음","진동","속도"
382,138,1,4530,1
241,138,2,4535,1
324,146,8,4538,1
196,260,11,4540,1
200,154,3,4542,1
181,173,5,4537,1
207,263,1,4537,1
203,224,8,4539,1
196,168,1,4534,1
210,141,2,4540,1
214,215,6,4542,1
190,201,3,4540,1
220,225,4,4544,1
191,157,0,4540,1
214,163,3,4542,1
187,225,0,4570,1
192,180,1,4544,1
201,148,0,4544,1
207,164,3,4542,1
303,146,1,4562,1
271,152,6,4553,1
197,160,1,4550,1
205,196,2,4545,1
201,206,2,4543,1
219,275,3,4545,1
238,176,2,4543,1
215,145,4,4543,1
211,147,21,4539,1
204,220,3,4538,1
208,281,3,4535,1
175,206,0,4537,1
210,147,3,4533,1
189,252,2,4534,1
188,202,6,4533,1
221,149,3,4529,1
209,136,2,4539,1
186,171,3,4543,1
184,261,2,4537,1
223,142,0,4532,1
226,287,1,4527,1
204,221,3,4536,1
189,186,2,4525,1
228,229,4,4525,1
216,286,1,4528,1
203,186,5,4529,1
231,298,0,4525,1
202,221,1,4526,1
190,219,5,4526,1
189,226,5,4531,1
207,139,2,4530,1
221,150,2,4533,1
211,151,2,4542,1
195,210,3,4544,1
229,151,3,4555,1
238,147,4,4561,1
194,184,2,4533,1
208,249,3,4530,1
227,291,3,4552,1
223,142,2,4549,1
195,180,1,4551,1
206,142,4,4558,1
205,238,1,4558,1
191,156,3,4556,1
207,146,2,4558,1
211,136,1,4555,1
187,160,2,4554,1
206,276,1,4552,1
203,138,8,4552,1
201,220,2,4549,1
197,227,0,4544,1
213,212,1,4539,1
194,167,2,4537,1
187,191,3,4536,1
191,161,1,4535,1
200,249,3,4537,1
187,214,1,4535,1
227,168,2,4535,1
196,166,1,4530,1
204,148,1,4530,1
209,148,3,4535,1
215,289,3,4537,1
209,254,5,4537,1
213,222,3,4537,1
204,285,4,4542,1
198,232,4,4544,1
208,146,3,4549,1
195,221,3,4551,1
206,218,6,4554,1
206,176,4,4560,1
197,174,5,4565,1
186,203,3,4561,1
216,143,3,4567,1
218,159,6,4565,1
188,224,5,4566,1
214,157,3,4568,1
209,157,3,4568,1
219,149,3,4566,1
210,142,1,4553,1
201,178,1,4564,1
202,292,1,4562,1
220,141,1,4562,1
204,164,2,4557,1
198,185,1,4550,1
200,152,2,4551,1
