"3상유도전동기","벨트처짐","소음","진동","속도"
194,198,4,4754,1
217,158,0,4755,1
239,163,1,4761,1
231,179,2,4763,1
256,166,1,4766,1
208,175,3,4755,1
195,181,3,4762,1
238,893,2,4758,1
240,177,3,4752,1
234,272,7,4756,1
217,230,7,4758,1
242,199,2,4755,1
230,169,8,4758,1
285,165,1,4757,1
208,185,5,4760,1
216,231,11,4754,1
211,180,3,4754,1
227,161,1,4754,1
201,190,2,4753,1
228,165,0,4756,1
213,180,1,4731,1
223,249,2,4758,1
223,176,2,4755,1
209,222,4,4730,1
210,167,1,4752,1
239,169,6,4748,1
206,191,6,4748,1
217,158,3,4721,1
230,917,0,4716,1
197,185,4,4723,1
236,166,2,4721,1
202,180,1,4718,1
221,177,2,4720,1
200,225,4,4721,1
216,194,2,4718,1
217,158,5,4721,1
219,237,3,4726,1
210,201,7,4724,1
208,188,2,4724,1
206,180,2,4726,1
205,218,0,4729,1
199,208,2,4726,1
202,175,1,4728,1
213,169,3,4726,1
221,160,4,4730,1
230,347,1,4728,1
195,184,2,4724,1
249,172,7,4724,1
201,184,4,4721,1
236,161,4,4721,1
206,181,1,4724,1
204,206,1,4721,1
189,197,1,4722,1
201,180,1,4722,1
208,168,1,4719,1
226,167,2,4722,1
203,196,2,4718,1
221,175,3,4722,1
213,171,6,4723,1
238,170,1,4721,1
227,167,0,4719,1
231,163,2,4720,1
208,180,4,4718,1
232,162,6,4719,1
253,197,9,4721,1
208,237,3,4719,1
199,190,1,4742,1
233,160,3,4741,1
236,170,1,4741,1
207,188,8,4742,1
229,169,7,4747,1
222,164,3,4742,1
227,165,2,4746,1
208,214,0,4745,1
213,216,1,4745,1
213,171,3,4746,1
238,244,1,4748,1
238,185,7,4741,1
222,175,4,4737,1
227,173,4,4737,1
250,161,5,4737,1
213,189,3,4737,1
243,175,2,4731,1
234,178,5,4751,1
208,183,1,4733,1
219,182,8,4734,1
213,238,1,4749,1
198,186,1,4747,1
218,167,2,4746,1
216,164,3,4744,1
226,172,0,4745,1
229,158,0,4741,1
250,157,2,4737,1
204,182,2,4736,1
233,238,1,4733,1
210,169,3,4731,1
207,180,1,4729,1
217,165,1,4731,1
227,160,1,4732,1
187,191,2,4729,1
217,172,1,4733,1
217,175,3,4731,1
186,204,1,4729,1
213,167,1,4732,1
217,173,4,4730,1
201,178,1,4731,1
209,171,3,4732,1
237,160,3,4746,1
218,179,2,4748,1
232,179,3,4752,1
247,232,2,4750,1
263,164,5,4750,1
222,196,3,4752,1
262,164,14,4757,1
242,238,3,4755,1
245,174,7,4753,1
220,160,3,4753,1
221,243,1,4752,1
270,167,3,4748,1
204,200,1,4744,1
246,206,2,4744,1
225,195,5,4735,1
224,922,3,4734,1
217,172,0,4725,1
231,157,1,4726,1
186,210,0,4727,1
256,244,1,4730,1
212,172,3,4725,1
233,183,5,4733,1
237,166,1,4736,1
237,164,1,4733,1
234,166,3,4733,1
229,163,3,4731,1
195,232,3,4733,1
203,201,1,4733,1
196,200,1,4734,1
193,188,1,4733,1
202,174,3,4737,1
199,208,4,4737,1
227,236,1,4732,1
191,208,0,4733,1
242,179,1,4729,1
193,187,1,4728,1
227,170,1,4739,1
212,175,3,4740,1
214,186,5,4737,1
195,219,1,4738,1
200,177,2,4730,1
197,214,2,4740,1
199,236,3,4735,1
190,189,2,4733,1
206,211,2,4736,1
231,915,4,4736,1
240,162,2,4730,1
235,915,3,4731,1
225,167,3,4737,1
247,169,0,4732,1
229,160,1,4733,1
223,187,1,4734,1
223,238,1,4736,1
224,203,3,4735,1
202,218,1,4729,1
199,181,2,4733,1
245,159,2,4735,1
227,158,1,4734,1
235,163,1,4755,1
229,239,3,4752,1
222,160,4,4753,1
217,163,1,4753,1
246,212,2,4755,1
195,197,3,4756,1
207,184,3,4757,1
232,239,3,4761,1
249,193,1,4760,1
210,194,2,4760,1
219,168,2,4756,1
206,193,4,4758,1
201,209,4,4758,1
214,166,3,4756,1
222,161,3,4756,1
194,184,1,4756,1
208,181,3,4756,1
194,185,1,4754,1
202,201,3,4754,1
245,913,3,4727,1
201,171,3,4725,1
214,235,0,4724,1
202,238,2,4724,1
229,219,1,4725,1
210,223,2,4730,1
212,214,1,4732,1
222,165,8,4732,1
218,178,2,4737,1
209,173,1,4737,1
221,227,2,4740,1
195,225,0,4751,1
209,185,1,4747,1
192,177,1,4754,1
204,170,0,4755,1
215,157,0,4754,1
225,163,1,4755,1
226,913,0,4754,1
197,171,1,4753,1
244,156,4,4753,1
213,170,1,4745,1
227,155,2,4755,1
195,184,1,4742,1
222,228,1,4756,1
222,164,2,4759,1
224,159,2,4756,1
215,158,1,4750,1
215,225,2,4754,1
194,179,2,4749,1
217,164,4,4746,1
212,166,1,4746,1
210,171,4,4743,1
238,217,11,4734,1
198,184,4,4736,1
212,486,1,4732,1
189,211,2,4725,1
194,197,1,4724,1
181,180,3,4720,1
245,170,1,4724,1
229,162,3,4724,1
224,169,1,4726,1
207,228,2,4750,1
209,217,3,4727,1
219,172,5,4743,1
210,174,2,4744,1
198,179,7,4747,1
216,207,1,4748,1
255,922,0,4742,1
217,164,2,4748,1
217,185,1,4740,1
225,223,7,4742,1
209,177,2,4734,1
186,195,0,4735,1
230,238,4,4731,1
214,174,1,4735,1
232,163,0,4735,1
224,154,2,4736,1
204,175,3,4737,1
196,188,1,4761,1
185,171,1,4732,1
201,170,1,4735,1
224,162,6,4760,1
