"3상유도전동기","벨트처짐","소음","진동","속도"
243,176,8,4489,1
219,172,3,4490,1
251,173,2,4489,1
214,232,2,4489,1
213,188,6,4490,1
224,236,2,4489,1
250,254,2,4489,1
217,163,7,4489,1
229,167,5,4499,1
223,166,5,4504,1
239,162,2,4500,1
222,180,8,4507,1
247,217,8,4507,1
215,195,3,4509,1
234,161,5,4510,1
218,223,9,4514,1
211,193,4,4520,1
243,163,10,4519,1
241,252,7,4520,1
210,208,6,4517,1
222,236,3,4514,1
216,184,4,4516,1
251,176,11,4519,1
223,161,2,4514,1
223,215,9,4519,1
209,253,5,4515,1
264,261,4,4524,1
221,217,3,4520,1
236,162,11,4520,1
330,161,5,4520,1
216,207,3,4519,1
269,208,8,4526,1
201,191,3,4523,1
248,165,10,4522,1
231,173,4,4523,1
221,191,5,4522,1
220,838,3,4520,1
220,189,3,4525,1
212,201,6,4524,1
241,171,2,4526,1
204,185,5,4522,1
236,172,7,4523,1
258,177,7,4523,1
240,212,4,4520,1
221,245,4,4520,1
217,178,6,4495,1
227,246,4,4520,1
272,199,5,4526,1
249,194,4,4499,1
262,199,5,4502,1
225,251,6,4503,1
251,159,2,4502,1
240,159,8,4504,1
219,205,5,4499,1
229,158,8,4498,1
237,169,5,4499,1
223,250,4,4498,1
237,160,7,4495,1
235,157,3,4493,1
213,196,5,4497,1
386,235,6,4494,1
251,163,7,4494,1
236,164,7,4491,1
217,232,8,4492,1
222,170,7,4492,1
214,265,9,4492,1
310,173,12,4492,1
236,263,8,4515,1
228,231,8,4496,1
205,207,1,4515,1
235,160,7,4514,1
204,186,5,4515,1
236,235,7,4514,1
251,195,7,4512,1
246,247,7,4513,1
238,171,4,4512,1
279,164,13,4512,1
230,177,2,4511,1
227,161,6,4513,1
240,271,4,4512,1
211,212,10,4508,1
260,178,3,4507,1
243,198,5,4502,1
218,183,4,4502,1
211,223,2,4498,1
208,221,4,4495,1
251,158,4,4494,1
229,157,5,4495,1
276,183,6,4513,1
235,177,14,4509,1
224,180,6,4505,1
222,188,5,4499,1
242,161,7,4496,1
257,171,7,4494,1
227,249,5,4500,1
344,170,3,4499,1
231,234,3,4496,1
228,161,3,4497,1
245,167,3,4500,1
240,156,3,4499,1
207,190,4,4495,1
253,158,3,4492,1
215,195,4,4494,1
206,177,4,4495,1
222,202,4,4516,1
209,192,7,4493,1
249,183,4,4513,1
259,158,4,4512,1
235,198,6,4499,1
228,158,6,4512,1
239,197,3,4508,1
369,170,8,4509,1
265,179,14,4507,1
217,224,6,4506,1
217,168,3,4503,1
230,265,3,4501,1
207,179,2,4499,1
230,158,5,4500,1
224,157,4,4505,1
204,202,3,4502,1
207,216,4,4499,1
223,194,9,4499,1
213,176,6,4498,1
235,169,4,4500,1
237,161,4,4496,1
214,190,4,4496,1
219,183,6,4519,1
288,194,19,4518,1
224,229,1,4497,1
217,217,4,4513,1
243,270,6,4518,1
240,156,6,4514,1
309,253,28,4518,1
223,182,5,4518,1
242,237,3,4520,1
227,223,3,4520,1
231,187,5,4520,1
234,184,8,4519,1
324,183,6,4517,1
245,209,8,4511,1
249,195,5,4506,1
249,161,3,4504,1
238,192,4,4504,1
253,170,15,4498,1
232,175,8,4502,1
217,159,2,4494,1
224,198,3,4498,1
212,233,2,4498,1
227,179,2,4497,1
211,171,7,4500,1
205,222,4,4502,1
237,162,5,4509,1
270,163,27,4501,1
228,153,5,4505,1
238,171,6,4509,1
200,190,5,4506,1
211,221,4,4497,1
213,215,6,4499,1
201,183,4,4498,1
270,173,4,4499,1
215,189,4,4496,1
242,208,5,4499,1
240,163,5,4499,1
227,206,3,4512,1
224,164,3,4512,1
219,237,3,4510,1
214,210,2,4499,1
237,160,5,4496,1
213,192,5,4496,1
230,243,5,4517,1
200,172,3,4516,1
233,160,4,4523,1
214,196,5,4525,1
202,204,4,4528,1
233,184,3,4527,1
226,205,12,4532,1
232,189,3,4533,1
234,268,5,4536,1
205,182,7,4532,1
229,248,5,4533,1
246,184,14,4536,1
246,228,10,4534,1
241,210,10,4539,1
233,163,5,4537,1
221,171,4,4535,1
223,226,27,4507,1
249,179,7,4506,1
231,239,7,4506,1
208,193,5,4505,1
218,284,3,4508,1
254,159,7,4504,1
238,198,6,4499,1
245,259,10,4501,1
209,210,5,4501,1
255,166,4,4505,1
236,161,3,4501,1
207,207,2,4506,1
230,240,6,4506,1
284,243,2,4504,1
245,222,5,4502,1
297,209,12,4505,1
247,166,3,4507,1
213,197,2,4509,1
249,185,6,4511,1
263,183,8,4513,1
239,235,3,4525,1
253,164,4,4527,1
280,164,7,4526,1
240,194,3,4526,1
259,218,10,4525,1
247,168,3,4523,1
234,158,5,4522,1
237,226,6,4520,1
226,184,5,4523,1
237,176,6,4524,1
245,161,5,4522,1
265,180,4,4517,1
201,199,5,4518,1
253,172,5,4518,1
231,220,11,4517,1
241,173,4,4518,1
227,246,5,4516,1
197,212,4,4517,1
210,201,5,4522,1
256,236,4,4519,1
298,172,3,4505,1
235,175,8,4502,1
226,181,6,4511,1
205,180,3,4503,1
260,164,3,4503,1
232,178,7,4500,1
235,167,5,4503,1
220,256,2,4501,1
219,183,3,4504,1
206,186,4,4497,1
234,179,4,4500,1
234,202,5,4500,1
204,229,5,4505,1
219,208,5,4503,1
228,180,4,4498,1
225,185,4,4500,1
203,201,3,4500,1
217,221,3,4495,1
235,190,2,4493,1
225,215,3,4498,1
264,163,3,4498,1
232,216,3,4509,1
235,275,7,4510,1
244,211,2,4506,1
210,209,4,4508,1
339,157,5,4505,1
235,186,5,4509,1
231,249,5,4509,1
251,189,5,4515,1
222,233,6,4510,1
234,167,5,4507,1
230,192,2,4512,1
219,202,5,4508,1
263,209,3,4507,1
240,178,4,4508,1
215,245,6,4506,1
215,173,6,4506,1
245,161,1,4503,1
226,175,6,4505,1
234,206,7,4530,1
234,172,4,4529,1
224,194,9,4528,1
229,161,10,4528,1
220,188,5,4528,1
244,155,3,4531,1
233,165,4,4527,1
219,191,6,4532,1
234,179,3,4530,1
223,191,6,4530,1
225,164,4,4532,1
233,236,7,4531,1
249,250,5,4533,1
242,240,5,4533,1
236,175,3,4535,1
235,179,8,4534,1
230,167,6,4534,1
252,215,9,4539,1
237,180,7,4536,1
272,209,7,4536,1
231,170,4,4535,1
206,184,3,4522,1
267,197,9,4520,1
298,169,19,4514,1
217,203,6,4511,1
250,168,10,4513,1
278,178,23,4514,1
231,160,2,4512,1
237,233,8,4509,1
279,263,22,4510,1
210,235,5,4514,1
224,183,7,4511,1
234,173,8,4508,1
231,171,8,4511,1
241,159,8,4512,1
218,178,13,4514,1
611,161,40,4528,4
533,217,31,4528,4
480,170,35,4518,4
584,163,39,4539,4
556,204,40,4537,4
617,167,40,4527,4
596,248,40,4538,4
598,198,39,4531,4
571,236,39,4543,4
556,173,38,4530,4
594,192,40,4535,4
601,187,39,4524,4
599,200,40,4532,4
578,196,22,4529,4
555,243,38,4538,4
585,200,38,4539,4
623,171,38,4532,4
460,177,38,4527,4
596,163,21,4522,4
548,199,36,4533,4
603,177,38,4533,4
564,163,38,4533,4
480,184,24,4556,4
538,197,34,4546,4
607,166,35,4558,4
586,187,38,4555,4
539,234,37,4551,4
430,175,18,4547,4
590,235,38,4546,4
593,181,36,4547,4
600,229,38,4548,4
600,201,38,4548,4
588,222,38,4539,4
593,219,38,4545,4
623,186,34,4558,4
617,178,38,4551,4
600,189,38,4563,4
600,214,38,4569,4
606,187,38,4571,4
570,164,38,4547,4
571,178,31,4567,4
612,244,38,4560,4
608,170,38,4572,4
547,182,38,4565,4
625,175,38,4549,4
623,182,38,4549,4
622,174,38,4565,4
627,166,38,4557,4
620,176,38,4560,4
574,214,35,4565,4
549,194,24,4568,4
536,187,38,4566,4
558,168,26,4559,4
569,190,38,4554,4
618,182,38,4550,4
583,183,31,4558,4
500,236,28,4529,4
587,166,30,4555,4
579,184,32,4529,4
600,200,38,4520,4
627,175,38,4516,4
584,194,38,4528,4
585,215,38,4531,4
606,189,38,4527,4
577,238,38,4533,4
559,166,38,4542,4
534,194,34,4540,4
512,201,38,4549,4
567,216,29,4555,4
617,177,27,4552,4
613,170,38,4552,4
579,195,38,4551,4
592,187,32,4553,4
574,163,32,4553,4
568,184,27,4540,4
615,175,40,4553,4
578,188,40,4541,4
491,194,40,4547,4
536,208,25,4524,4
614,176,39,4522,4
621,166,27,4531,4
603,209,38,4532,4
601,188,38,4539,4
617,180,38,4528,4
610,234,38,4545,4
592,179,38,4547,4
605,164,34,4541,4
499,219,27,4537,4
519,186,31,4532,4
503,167,33,4536,4
551,226,26,4558,4
581,208,36,4553,4
599,196,38,4553,4
601,201,38,4565,4
601,221,38,4559,4
610,189,38,4559,4
600,201,38,4564,4
608,217,38,4564,4
608,180,34,4562,4
589,235,38,4565,4
625,171,38,4553,4
596,205,38,4555,4
574,191,38,4555,4
621,174,38,4558,4
591,215,38,4563,4
541,173,31,4552,4
570,201,38,4565,4
504,162,38,4561,4
536,185,22,4554,4
599,163,32,4570,4
575,187,33,4571,4
541,198,38,4563,4
621,228,38,4562,4
630,170,38,4570,4
622,229,38,4562,4
625,196,38,4560,4
596,225,38,4560,4
548,163,38,4555,4
514,173,33,4577,4
563,184,38,4575,4
503,251,38,4565,4
456,181,21,4572,4
514,224,26,4567,4
522,213,27,4571,4
537,222,38,4565,4
580,228,38,4565,4
593,212,38,4590,4
601,162,38,4575,4
549,219,28,4580,4
574,195,38,4568,4
574,161,38,4554,4
509,176,29,4561,4
591,169,25,4563,4
554,200,33,4556,4
572,212,38,4555,4
607,179,38,4558,4
565,251,23,4574,4
604,219,33,4554,4
613,168,38,4587,4
603,184,36,4575,4
527,222,33,4567,4
566,252,38,4581,4
579,162,27,4553,4
449,193,22,4566,4
550,230,19,4562,4
483,195,34,4558,4
550,192,28,4556,4
606,181,29,4563,4
575,182,38,4565,4
608,224,38,4559,4
604,184,38,4555,4
598,189,38,4558,4
544,168,33,4559,4
534,170,31,4565,4
579,197,38,4572,4
546,162,28,4582,4
489,204,21,4547,4
530,165,32,4583,4
601,172,37,4558,4
573,182,38,4566,4
581,211,38,4561,4
535,182,30,4569,4
575,168,30,4567,4
555,172,35,4550,4
500,172,27,4563,4
548,172,27,4565,4
565,170,38,4564,4
428,220,27,4558,4
432,184,35,4565,4
522,197,33,4558,4
504,179,21,4566,4
606,173,32,4576,4
606,187,38,4564,4
603,169,38,4559,4
556,163,37,4563,4
553,187,28,4548,4
511,160,37,4562,4
550,250,20,4562,4
446,182,29,4537,4
607,174,38,4567,4
599,198,38,4557,4
562,167,30,4542,4
514,162,38,4541,4
552,163,27,4538,4
480,209,22,4544,4
557,194,38,4549,4
606,181,38,4544,4
619,177,38,4542,4
579,194,38,4552,4
524,169,22,4535,4
558,197,28,4541,4
560,253,38,4534,4
560,220,31,4533,4
624,163,38,4534,4
601,183,38,4543,4
617,172,37,4550,4
614,231,38,4533,4
600,198,38,4523,4
609,225,38,4537,4
561,192,32,4532,4
598,198,38,4537,4
596,195,38,4531,4
612,233,38,4535,4
609,189,38,4530,4
609,181,39,4529,4
609,170,40,4524,4
612,185,40,4534,4
610,180,38,4521,4
600,193,40,4518,4
622,170,40,4521,4
624,171,39,4524,4
589,220,38,4540,4
524,187,38,4533,4
570,166,40,4555,4
501,183,32,4554,4
457,181,40,4543,4
504,173,31,4554,4
580,186,29,4532,4
605,249,29,4516,4
592,208,39,4522,4
599,204,34,4543,4
606,216,38,4549,4
566,189,38,4538,4
603,187,37,4553,4
568,164,38,4553,4
500,181,25,4545,4
