"3상유도전동기","벨트처짐","소음","진동","속도"
241,201,3,4881,1
249,178,3,4881,1
267,218,5,4883,1
284,152,6,4881,1
269,161,5,4884,1
249,195,4,4884,1
271,913,5,4878,1
293,170,8,4879,1
230,193,5,4885,1
248,209,4,4883,1
243,181,9,4885,1
262,891,6,4884,1
262,228,5,4885,1
293,180,2,4891,1
364,188,4,4866,1
406,177,8,4887,1
292,194,21,4868,1
330,169,4,4868,1
246,183,7,4866,1
314,163,5,4868,1
233,196,4,4870,1
258,168,14,4868,1
263,165,6,4870,1
319,165,12,4873,1
266,182,15,4869,1
251,251,4,4867,1
304,941,6,4870,1
334,243,5,4869,1
317,199,4,4867,1
268,163,4,4875,1
263,188,5,4874,1
260,177,2,4873,1
265,201,6,4870,1
269,167,6,4873,1
254,249,6,4873,1
222,196,5,4867,1
452,194,8,4870,1
244,175,11,4867,1
352,232,2,4866,1
337,206,11,4868,1
266,174,6,4873,1
307,169,12,4868,1
310,179,6,4877,1
303,894,3,4881,1
421,275,37,4884,1
402,235,3,4884,1
280,198,5,4876,1
352,222,5,4876,1
267,177,10,4878,1
268,157,6,4872,1
254,160,5,4873,1
331,170,7,4869,1
281,179,7,4881,1
253,184,4,4865,1
245,175,3,4861,1
235,215,4,4859,1
267,176,4,4877,1
494,170,26,4876,1
398,213,6,4871,1
260,211,4,4873,1
346,935,10,4870,1
278,162,6,4868,1
286,261,8,4864,1
282,170,3,4859,1
279,176,6,4855,1
280,181,6,4849,1
272,228,6,4850,1
247,173,4,4848,1
251,176,6,4844,1
270,167,6,4844,1
236,193,8,4845,1
254,191,4,4843,1
274,162,4,4844,1
295,529,2,4858,1
287,173,9,4860,1
307,932,2,4858,1
229,211,4,4856,1
298,258,2,4851,1
245,237,6,4858,1
326,919,2,4853,1
257,244,7,4852,1
276,251,4,4850,1
256,163,3,4849,1
259,203,9,4843,1
296,167,13,4845,1
272,247,3,4841,1
244,173,2,4839,1
262,168,4,4842,1
250,177,9,4842,1
243,180,9,4842,1
240,196,2,4849,1
266,162,5,4848,1
268,923,2,4846,1
271,392,3,4845,1
261,880,3,4845,1
269,194,7,4849,1
261,234,10,4842,1
250,198,3,4844,1
254,860,12,4842,1
291,160,4,4841,1
238,186,5,4842,1
238,213,4,4843,1
277,169,6,4845,1
249,232,5,4839,1
263,185,7,4850,1
224,195,3,4854,1
246,200,7,4857,1
235,172,4,4852,1
268,170,3,4858,1
241,180,7,4858,1
226,178,6,4862,1
241,188,4,4871,1
249,174,7,4868,1
278,176,3,4872,1
257,165,2,4871,1
271,227,7,4872,1
305,167,6,4846,1
304,180,3,4853,1
233,199,3,4847,1
307,164,3,4846,1
215,216,5,4850,1
262,162,5,4854,1
265,171,3,4856,1
240,176,9,4855,1
246,177,6,4851,1
240,181,4,4848,1
248,170,5,4851,1
242,160,2,4844,1
223,225,3,4846,1
244,227,4,4844,1
245,206,7,4843,1
222,208,2,4838,1
325,399,6,4845,1
273,173,5,4838,1
276,164,5,4843,1
257,159,4,4838,1
263,217,1,4834,1
237,179,8,4838,1
269,216,8,4838,1
230,193,6,4839,1
239,218,6,4836,1
266,167,6,4840,1
242,196,8,4834,1
241,168,4,4831,1
261,187,16,4837,1
239,171,3,4839,1
237,193,5,4837,1
291,570,4,4837,1
245,906,4,4831,1
420,966,22,4832,1
288,205,7,4826,1
282,1024,6,4852,1
233,175,3,4829,1
301,901,6,4850,1
252,185,5,4847,1
247,207,2,4850,1
246,175,6,4851,1
275,185,9,4846,1
273,171,3,4851,1
275,167,5,4848,1
244,173,5,4846,1
237,191,3,4849,1
240,178,2,4851,1
305,195,2,4849,1
274,223,5,4849,1
260,935,5,4847,1
371,184,13,4851,1
262,272,5,4843,1
279,210,5,4843,1
267,245,7,4835,1
314,527,26,4816,1
272,181,3,4817,1
278,181,8,4825,1
249,195,5,4822,1
241,205,9,4816,1
244,208,3,4818,1
283,205,10,4819,1
244,207,3,4821,1
236,203,7,4820,1
251,160,8,4821,1
248,270,8,4821,1
234,195,10,4819,1
244,211,3,4818,1
252,175,5,4818,1
256,336,3,4816,1
269,195,18,4818,1
303,921,6,4821,1
277,207,4,4814,1
295,213,5,4816,1
300,528,5,4813,1
246,221,4,4816,1
289,169,7,4814,1
280,215,7,4815,1
445,194,17,4824,1
272,165,7,4854,1
277,222,7,4854,1
421,178,28,4854,1
425,269,12,4854,1
258,155,7,4856,1
415,211,5,4852,1
324,193,7,4851,1
290,254,16,4851,1
338,189,6,4851,1
268,162,3,4848,1
276,171,10,4848,1
274,167,8,4850,1
316,213,4,4850,1
298,229,7,4844,1
393,175,6,4845,1
324,158,9,4849,1
362,175,16,4826,1
398,210,5,4846,1
372,189,16,4845,1
429,233,27,4833,1
404,178,18,4835,1
347,168,7,4831,1
353,208,8,4829,1
253,201,6,4832,1
319,176,9,4834,1
294,183,11,4832,1
318,168,7,4839,1
288,193,10,4839,1
340,181,6,4834,1
293,219,20,4833,1
256,173,4,4835,1
252,180,5,4833,1
226,210,2,4831,1
315,561,15,4834,1
326,192,12,4835,1
318,234,5,4830,1
291,220,9,4812,1
338,924,11,4831,1
334,187,7,4815,1
338,220,15,4811,1
321,240,4,4832,1
320,165,15,4811,1
291,161,5,4803,1
267,212,10,4801,1
270,159,6,4806,1
229,209,7,4803,1
281,159,14,4798,1
262,192,4,4794,1
274,193,17,4795,1
265,239,5,4790,1
307,164,11,4791,1
253,184,3,4793,1
292,179,6,4791,1
267,200,10,4794,1
319,244,7,4796,1
285,176,10,4790,1
299,195,19,4807,1
291,186,3,4791,1
280,177,7,4794,1
303,163,23,4811,1
295,203,5,4822,1
303,167,5,4813,1
302,182,20,4800,1
345,911,12,4801,1
333,161,6,4800,1
340,881,6,4795,1
333,265,6,4796,1
347,228,6,4796,1
274,203,4,4797,1
343,168,2,4794,1
312,161,13,4794,1
380,171,11,4793,1
287,230,3,4789,1
335,242,24,4791,1
312,171,4,4791,1
316,167,11,4789,1
291,245,11,4794,1
318,237,5,4788,1
368,931,15,4794,1
369,207,24,4793,1
387,193,4,4793,1
338,201,16,4791,1
329,939,17,4788,1
319,161,5,4797,1
297,273,16,4798,1
298,193,8,4796,1
284,205,5,4797,1
257,207,18,4803,1
293,178,6,4810,1
309,175,6,4810,1
283,187,8,4819,1
261,193,14,4819,1
265,161,3,4815,1
266,160,6,4816,1
230,205,2,4819,1
279,177,14,4805,1
258,180,4,4813,1
250,242,5,4818,1
306,956,19,4797,1
321,204,7,4793,1
286,192,6,4786,1
323,204,11,4785,1
292,194,5,4787,1
281,162,3,4779,1
267,160,6,4776,1
331,161,4,4778,1
630,186,38,4790,4
617,225,38,4798,4
666,173,38,4800,4
613,217,35,4803,4
552,213,34,4824,4
610,176,38,4806,4
625,191,38,4816,4
634,234,38,4816,4
643,856,34,4805,4
592,186,38,4796,4
613,185,37,4798,4
585,166,34,4810,4
629,181,38,4804,4
635,171,38,4806,4
551,214,32,4782,4
618,198,31,4788,4
628,168,38,4793,4
605,247,29,4790,4
599,192,31,4758,4
555,241,31,4758,4
591,191,38,4774,4
620,897,38,4758,4
638,173,38,4742,4
625,259,35,4770,4
590,906,38,4768,4
625,169,27,4775,4
604,220,38,4763,4
574,190,31,4772,4
601,197,37,4759,4
623,186,38,4764,4
563,556,38,4769,4
596,172,30,4749,4
530,190,28,4772,4
635,251,38,4773,4
573,177,38,4783,4
591,222,38,4794,4
611,236,34,4780,4
638,180,38,4779,4
614,274,33,4772,4
566,861,23,4775,4
579,220,23,4775,4
611,185,38,4793,4
633,169,38,4780,4
628,254,38,4759,4
620,195,32,4779,4
640,174,40,4746,4
554,200,27,4748,4
646,180,40,4762,4
614,197,40,4744,4
619,217,40,4765,4
589,232,35,4753,4
616,202,38,4759,4
652,174,38,4756,4
614,254,38,4761,4
631,171,37,4754,4
591,184,29,4754,4
558,217,32,4761,4
564,214,33,4750,4
607,203,38,4774,4
593,204,33,4765,4
631,174,38,4762,4
630,170,38,4771,4
593,193,38,4785,4
587,231,38,4761,4
613,241,37,4775,4
586,221,38,4790,4
587,205,38,4766,4
621,166,16,4787,4
586,217,38,4767,4
656,199,38,4806,4
646,232,38,4786,4
622,240,38,4777,4
556,191,31,4786,4
546,250,38,4785,4
553,197,27,4792,4
545,187,38,4784,4
559,184,28,4786,4
574,208,34,4785,4
610,185,38,4794,4
579,197,24,4794,4
535,204,22,4778,4
545,196,38,4794,4
581,238,29,4802,4
587,216,36,4797,4
583,294,24,4789,4
596,216,38,4784,4
621,197,38,4783,4
648,182,38,4804,4
655,183,38,4794,4
630,188,38,4780,4
621,247,38,4806,4
595,210,38,4801,4
633,245,38,4780,4
626,195,38,4789,4
648,179,38,4809,4
652,839,38,4792,4
620,182,38,4792,4
603,209,35,4799,4
575,240,38,4774,4
633,186,38,4795,4
621,206,38,4794,4
667,179,38,4781,4
609,168,34,4789,4
606,165,34,4789,4
616,259,38,4787,4
606,233,38,4798,4
609,216,38,4798,4
590,208,38,4781,4
611,184,37,4790,4
611,185,38,4787,4
568,224,38,4796,4
548,219,25,4794,4
576,895,21,4777,4
601,286,20,4791,4
604,218,26,4787,4
534,185,35,4782,4
580,168,38,4773,4
620,189,38,4777,4
652,186,38,4773,4
585,188,38,4769,4
585,220,27,4749,4
527,173,38,4777,4
541,179,29,4768,4
588,212,35,4759,4
574,219,38,4764,4
605,174,38,4777,4
624,172,34,4760,4
584,181,24,4766,4
606,218,38,4757,4
554,203,30,4763,4
598,188,30,4763,4
611,182,35,4768,4
628,188,35,4768,4
648,171,38,4776,4
634,182,34,4753,4
607,201,38,4780,4
600,192,38,4760,4
557,212,31,4750,4
611,179,27,4762,4
593,236,38,4752,4
600,224,28,4760,4
612,871,38,4764,4
609,193,35,4736,4
623,182,38,4756,4
620,250,38,4772,4
562,208,35,4744,4
589,192,31,4761,4
616,190,38,4770,4
614,192,38,4761,4
591,189,38,4756,4
564,216,23,4758,4
623,192,30,4742,4
629,240,38,4762,4
642,175,38,4762,4
600,201,38,4767,4
599,192,37,4764,4
643,191,38,4762,4
604,207,38,4770,4
587,251,36,4746,4
615,198,38,4735,4
607,196,32,4772,4
581,840,38,4731,4
623,239,38,4756,4
592,189,37,4781,4
604,174,26,4737,4
571,243,38,4734,4
605,246,30,4754,4
604,185,38,4749,4
591,227,29,4755,4
592,204,38,4741,4
610,184,38,4741,4
619,187,35,4750,4
594,209,28,4767,4
606,165,38,4724,4
599,175,28,4738,4
601,165,29,4727,4
604,185,38,4733,4
574,211,30,4742,4
590,224,30,4742,4
654,488,38,4753,4
632,182,38,4750,4
648,178,38,4739,4
648,182,38,4760,4
608,185,38,4757,4
623,245,38,4742,4
590,196,38,4751,4
599,210,38,4749,4
654,177,38,4755,4
635,253,34,4745,4
615,226,38,4746,4
628,179,38,4775,4
638,169,38,4768,4
632,181,38,4751,4
603,169,38,4768,4
658,175,38,4759,4
575,232,30,4759,4
633,813,35,4739,4
628,309,27,4754,4
635,173,36,4738,4
591,218,34,4754,4
633,182,31,4756,4
627,201,38,4759,4
622,208,38,4759,4
659,249,38,4764,4
604,190,38,4767,4
605,171,38,4740,4
614,251,38,4758,4
647,245,38,4764,4
643,171,38,4751,4
643,188,38,4780,4
651,180,38,4742,4
632,242,38,4733,4
616,197,38,4752,4
611,235,38,4720,4
633,186,38,4733,4
647,830,29,4740,4
626,240,38,4727,4
635,178,38,4738,4
624,216,34,4738,4
622,258,38,4731,4
621,911,38,4721,4
625,183,32,4745,4
660,176,38,4732,4
619,193,38,4747,4
654,174,38,4741,4
606,194,38,4760,4
612,827,38,4760,4
628,255,30,4729,4
637,184,40,4731,4
645,194,40,4731,4
624,179,40,4745,4
598,204,34,4741,4
600,176,39,4734,4
629,181,40,4745,4
643,175,40,4724,4
598,217,40,4746,4
647,190,40,4723,4
621,222,38,4727,4
620,258,40,4730,4
634,178,30,4708,4
621,242,39,4717,4
653,173,39,4732,4
628,183,39,4733,4
618,195,39,4707,4
629,195,30,4729,4
592,236,39,4723,4
607,179,39,4734,4
578,218,39,4719,4
616,887,40,4709,4
598,196,39,4709,4
635,614,40,4719,4
617,895,31,4713,4
624,232,39,4722,4
639,171,39,4706,4
548,254,32,4720,4
626,310,39,4717,4
606,184,39,4711,4
625,212,38,4731,4
598,846,38,4709,4
602,198,38,4714,4
593,203,38,4736,4
606,240,38,4742,4
633,170,38,4734,4
631,173,38,4707,4
603,195,34,4727,4
639,901,38,4758,4
590,169,37,4720,4
604,244,38,4716,4
583,238,35,4723,4
582,201,33,4737,4
623,190,38,4745,4
648,175,38,4748,4
612,207,38,4735,4
615,203,38,4764,4
617,170,38,4746,4
625,204,38,4726,4
618,878,38,4768,4
621,232,38,4755,4
643,183,38,4755,4
626,260,38,4755,4
625,223,38,4738,4
642,175,38,4743,4
554,407,34,4727,4
608,334,34,4712,4
579,177,38,4726,4
591,180,38,4736,4
592,212,38,4717,4
575,212,38,4717,4
607,191,38,4712,4
611,328,38,4739,4
549,256,37,4707,4
610,223,38,4709,4
613,240,38,4753,4
603,205,38,4727,4
601,244,38,4723,4
608,186,38,4750,4
620,201,38,4733,4
639,174,38,4754,4
598,222,38,4733,4
589,225,31,4747,4
627,211,40,4731,7
618,216,40,4739,7
651,846,40,4755,7
623,214,40,4728,7
626,231,40,4751,7
648,219,40,4760,7
649,317,40,4754,7
641,177,40,4742,7
619,190,40,4723,7
615,191,40,4742,7
655,232,39,4708,7
620,216,39,4708,7
640,182,39,4727,7
637,185,39,4759,7
638,855,40,4730,7
625,188,40,4703,7
653,174,40,4709,7
614,222,40,4742,7
627,194,40,4722,7
640,256,39,4706,7
630,182,39,4687,7
617,218,39,4726,7
630,192,38,4733,7
611,196,38,4738,7
630,190,38,4718,7
614,212,38,4689,7
636,225,39,4728,7
627,212,39,4725,7
624,240,39,4711,7
618,191,40,4700,7
637,174,39,4722,7
661,204,40,4709,7
633,261,40,4710,7
613,191,40,4687,7
649,166,40,4694,7
631,208,40,4724,7
637,219,40,4717,7
628,183,40,4681,7
620,899,40,4714,7
624,216,40,4715,7
619,256,39,4703,7
660,263,40,4695,7
632,246,40,4683,7
630,252,40,4729,7
626,182,40,4704,7
637,180,40,4687,7
620,187,39,4707,7
621,226,39,4716,7
636,240,40,4721,7
620,189,39,4697,7
633,237,39,4691,7
621,190,39,4697,7
646,248,39,4740,7
633,182,40,4696,7
634,182,39,4701,7
632,218,40,4694,7
625,183,40,4726,7
642,167,40,4716,7
611,209,40,4701,7
616,192,40,4697,7
627,228,40,4698,7
626,232,38,4705,7
636,258,38,4699,7
618,217,39,4704,7
621,232,40,4698,7
637,257,40,4701,7
640,164,40,4701,7
630,195,40,4687,7
610,222,40,4703,7
605,195,35,4707,7
615,211,38,4693,7
615,875,38,4699,7
612,205,38,4725,7
637,247,38,4718,7
622,253,38,4703,7
641,182,38,4691,7
634,184,38,4706,7
640,166,38,4712,7
655,178,38,4709,7
638,183,38,4706,7
616,205,38,4699,7
626,200,38,4724,7
631,190,38,4738,7
628,247,38,4740,7
611,214,38,4719,7
627,182,38,4728,7
637,181,38,4738,7
643,176,38,4724,7
651,186,38,4706,7
622,245,38,4705,7
621,201,38,4708,7
614,847,38,4702,7
611,240,38,4672,7
638,186,38,4685,7
641,193,38,4702,7
635,242,38,4693,7
634,174,38,4669,7
645,171,38,4687,7
638,185,38,4706,7
636,219,37,4702,7
620,218,38,4699,7
610,204,38,4678,7
641,170,38,4699,7
630,225,38,4716,7
627,180,38,4713,7
631,186,38,4704,7
642,934,38,4694,7
622,184,38,4714,7
654,176,38,4714,7
632,183,38,4702,7
613,215,38,4680,7
624,195,38,4687,7
650,196,38,4692,7
639,166,38,4692,7
626,167,38,4686,7
648,168,38,4690,7
631,186,38,4696,7
619,249,38,4710,7
638,223,38,4715,7
595,197,38,4699,7
622,252,38,4702,7
640,166,38,4717,7
624,227,38,4730,7
629,195,38,4726,7
626,186,38,4699,7
636,831,38,4726,7
606,205,38,4729,7
660,181,38,4726,7
617,192,38,4719,7
634,189,38,4688,7
639,172,38,4719,7
647,170,38,4730,7
619,188,38,4715,7
608,208,38,4710,7
631,186,38,4708,7
648,359,38,4700,7
628,190,38,4701,7
626,195,38,4686,7
610,196,38,4662,7
616,201,38,4662,7
606,198,38,4690,7
638,181,38,4693,7
642,171,38,4670,7
604,204,38,4667,7
665,484,38,4699,7
612,212,38,4699,7
615,207,38,4709,7
640,169,38,4689,7
635,241,38,4708,7
633,216,38,4702,7
641,169,38,4696,7
625,252,38,4702,7
637,189,38,4728,7
644,185,38,4721,7
648,184,38,4719,7
617,201,31,4704,7
650,183,38,4720,7
625,234,38,4732,7
603,198,38,4704,7
632,200,38,4693,7
619,182,38,4703,7
640,168,38,4714,7
