"3상유도전동기","벨트처짐","소음","진동","속도"
282,160,4,4548,1
209,198,9,4552,1
252,183,2,4549,1
209,181,4,4550,1
230,203,4,4556,1
245,173,5,4552,1
250,173,7,4554,1
220,175,3,4557,1
278,159,5,4550,1
253,153,4,4553,1
204,196,7,4555,1
234,184,4,4555,1
228,172,11,4560,1
197,260,5,4555,1
211,171,6,4546,1
228,158,3,4538,1
223,177,3,4535,1
226,173,2,4559,1
209,182,8,4531,1
230,152,5,4532,1
228,153,2,4530,1
246,166,8,4524,1
226,169,4,4530,1
211,230,7,4526,1
220,184,2,4537,1
229,181,4,4539,1
243,237,16,4526,1
263,163,4,4533,1
236,246,2,4532,1
235,217,7,4536,1
249,160,7,4540,1
239,250,7,4540,1
233,179,3,4551,1
240,183,4,4549,1
219,214,4,4524,1
202,172,4,4528,1
239,167,4,4545,1
206,199,6,4524,1
220,172,4,4521,1
221,191,2,4526,1
232,175,5,4530,1
213,179,8,4531,1
224,166,1,4531,1
229,236,3,4527,1
247,166,2,4533,1
259,171,5,4530,1
253,165,2,4524,1
232,179,8,4530,1
253,219,4,4530,1
270,232,5,4535,1
247,212,4,4536,1
231,191,2,4542,1
242,192,6,4540,1
210,196,6,4539,1
219,233,5,4524,1
214,235,1,4524,1
258,181,8,4538,1
231,174,9,4520,1
230,222,2,4525,1
230,204,3,4524,1
229,222,2,4524,1
233,262,15,4522,1
216,167,4,4521,1
241,166,3,4519,1
260,161,9,4524,1
223,212,3,4523,1
208,177,2,4527,1
215,198,12,4526,1
239,168,9,4537,1
233,200,2,4528,1
214,172,6,4529,1
247,156,7,4535,1
237,499,7,4530,1
213,234,1,4535,1
219,851,2,4540,1
211,226,1,4539,1
190,181,4,4537,1
225,170,2,4528,1
219,181,2,4523,1
214,154,7,4524,1
235,239,9,4525,1
246,177,2,4533,1
209,204,8,4529,1
217,204,5,4532,1
253,203,4,4532,1
261,162,7,4535,1
260,167,6,4530,1
248,201,4,4527,1
215,237,5,4535,1
239,174,3,4532,1
224,189,5,4535,1
242,200,2,4532,1
238,231,2,4532,1
248,171,18,4538,1
224,261,1,4552,1
222,227,9,4547,1
246,165,10,4550,1
222,208,1,4549,1
230,156,5,4553,1
227,246,4,4550,1
221,219,1,4555,1
215,279,10,4554,1
235,227,3,4545,1
202,178,3,4545,1
229,184,3,4547,1
